"Resultaten 1-476 van 476 voor 'Status voorkomen=2a,2b,2c,2d,2; Habitat=zoet water,zout water'"

"wetenschappelijke naam"	"populaire naam"	"status voorkomen"	"link"	
"Aedes atropalpus (Coquillett, 1902)"	"Amerikaanse rotspoelmug "	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171576"	
"Aedes flavopictus Yamada, 1921"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=186118"	
"Aedes japonicus (Theobald, 1901)"	"Aziatische bosmug"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=173966"	
"Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne"	"Stijf priemwier"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116624"	
"Aix galericulata (Linnaeus, 1758)"	"Mandarijneend"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139913"	
"Alcyonidium condylocinereum Porter, 2004"	"Grijze zeevinger"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140697"	
"Alexandrium leei Balech"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178848"	
"Alexandrium tamarense (Lebour) Balech"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178849"	
"Alitta virens (Sars, 1835)"	"Gewone zager"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138052"	
"Alopochen aegyptiaca (Linnaeus, 1766)"	"Nijlgans"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139870"	
"Amathia gracilis (Leidy, 1855)"	""	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140426"	
"Amathia imbricata (Adams, 1798)"	""	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140425"	
"Amazonetta brasiliensis (Gmelin, 1789)"	"Amazonetaling"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177305"	
"Ameiurus melas (Rafinesque, 1820)"	"Zwarte dwergmeerval"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138426"	
"Ameiurus nebulosus (Le Sueur, 1819)"	"Bruine dwergmeerval"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138425"	
"Ammothea hilgendorfi (Böhm, 1879)"	"Zebrazeespin"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174045"	
"Amphibalanus amphitrite (Darwin, 1851)"	"Paarsgestreepte zeepok"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144201"	
"Amphibalanus eburneus (Gould, 1841)"	"Ivoorpok"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144196"	
"Amphibalanus improvisus (Darwin, 1854)"	"Brakwaterpok"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144200"	
"Ampithoe valida Smith, 1873"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183242"	
"Anas bahamensis Linnaeus, 1758"	"Bahamapijlstaart"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172419"	
"Anas capensis (Gmelin, 1789)"	"Kaapse taling"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172143"	
"Anas cyanoptera Vieillot, 1816"	"Kaneeltaling"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177306"	
"Anas flavirostris Vieillot, 1816"	"Chileense taling"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177307"	
"Anas georgica (Gmelin, 1789)"	"Zuid-Amerikaanse pijlstaart"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177308"	
"Anas platyrhynchos f.  domesticus"	"Soepeend"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172355"	
"Anas poecilorhyncha Forster, 1781"	"Indische vlekbekeend"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177309"	
"Anas rhynchotis Latham, 1801"	"Australische slobeend"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177310"	
"Anas sibilatrix Poeppig, 1829"	"Chileense smient"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174552"	
"Anas versicolor Vieillot, 1816"	"Zilvertaling"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177311"	
"Anguillicoloides crassus (Kuwahara, Niimi & Itagaki, 1974)"	"Zwemblaasworm"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136468"	
"Anomia ephippium Linnaeus, 1758"	"Paardenzadel"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137367"	
"Anotrichium furcellatum (J.Agardh) Baldock"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116524"	
"Anser anser f.  domesticus"	"Soepgans"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172356"	
"Anser anser subsp. rubrirostris Swinhoe, 1871"	"Oostelijke grauwe gans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177371"	
"Anser canagicus Sevastianov, 1802"	"Keizergans"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172140"	
"Anser cygnoides (Linnaeus, 1758)"	"Zwaangans"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172139"	
"Anser cygnoides f.  domesticus"	"Zwaangans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177372"	
"Anser fabalis subsp. johanseni Delacour, 1951"	"Taigarietgans (johanseni)"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177374"	
"Anser indicus (Latham, 1790)"	"Indische gans"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139891"	
"Anser middendorffii Severtsov, 1873"	"Middendorffs Rietgans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177375"	
"Antithamnionella spirographidis (Schiffn.) E.M.Woll."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116493"	
"Antithamnionella ternifolia Hook.f. & Harv.) Lyle"	"Drietakkig rooddonswier"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116494"	
"Aoroides semicurvatus Ariyama, 2004"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182680"	
"Aphanomyces astaci Schikora, 1903"	"Kreeftenpest"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=135202"	
"Aplidium glabrum (Verrill, 1871)"	"Glanzende bolzakpijp"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138816"	
"Aponogeton distachyos L. f."	"Kaapse waterlelie"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174607"	
"Arachnidium lacourti d'Hondt & Faasse, 2006"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140415"	
"Arcuatula senhousia (Benson, 1842)"	"Aziatische mossel"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183465"	
"Argulus japonicus Thiele, 1900"	"Japanse visluis"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171537"	
"Ariomma indicum (Day, 1871)"	"Indische driftvis"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182530"	
"Astronotus ocellatus (Agassiz, 1831)"	"Pauwoogcichlide"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183463"	
"Atyaephyra desmaresti (Millet, 1831)"	"Zoetwatergarnaal"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143783"	
"Austrominius modestus (Darwin, 1854)"	"Nieuw-Zeelandse zeepok"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144207"	
"Austropotamobius torrentium (Schrank, 1803)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143786"	
"Aythya valisineria (Wilson, 1814)"	"Grote tafeleend"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172098"	
"Azolla cristata Kaulf."	"Kleine kroosvaren"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118370"	
"Azolla filiculoides Lam."	"Grote kroosvaren"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118369"	
"Balanus balanus (Linnaeus, 1758)"	"Grote zeepok"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144197"	
"Balanus glandula Darwin, 1854"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183566"	
"Ballerus sapa (Pallas, 1814)"	"Donaubrasem"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172296"	
"Barentsia matsushimana Toriumi, 1951"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140819"	
"Barentsia mutabilis Toriumi, 1951"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140821"	
"Barentsia ramosa (Robertson, 1900)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140820"	
"Biddulphia longicruris Greville"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183249"	
"Biflustra grandicella (Canu & Bassler, 1929)"	""	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=183239"	
"Bispira polyomma Faasse & Giangrande, 2012"	"Paarse kokerworm"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171422"	
"Blackfordia virginica Mayer, 1910"	"Franjerokje"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174678"	
"Boccardia proboscidea Hartman, 1940"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174801"	
"Boccardiella hamata (Webster, 1879)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174799"	
"Boccardiella ligerica (Ferronnière, 1898)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138028"	
"Bombina bombina (Linnaeus, 1761)"	"Roodbuikvuurpad"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182546"	
"Bonamia ostreae Pichot, Comps, Tigé, Grizel & Rabouin"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178524"	
"Bonnemaisonia hamifera Har."	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116422"	
"Botrylloides violaceus Oka, 1927"	"Slingerzakpijp"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138825"	
"Botryllus schlosseri (Pallas, 1774)"	"Gesterde geleikorst"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138828"	
"Brachionus plicatilis Gosse, 1851"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136664"	
"Branchiobdella kozarovi Subchev, 1978"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174345"	
"Branchiodrilus hortensis (Stephenson, 1910)"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138224"	
"Branchiomma bombyx (Dalyell, 1853)"	"Modderkokerworm"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138012"	
"Branchiura sowerbyi Beddard, 1892"	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138178"	
"Branta canadensis (Linnaeus, 1758)"	"Grote Canadese gans"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=139905"	
"Branta canadensis subsp. canadensis (Linnaeus, 1758)"	"Atlantische Canadese gans"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177377"	
"Branta canadensis subsp. interior Todd, 1938"	"Todds Canadese gans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177378"	
"Branta canadensis subsp. maxima Delacour, 1951"	"Grote Canadese gans (maxima)"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177379"	
"Branta canadensis subsp. occidentalis (Baird, 1858)"	"Grote Canadese gans (occidentalis)"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177380"	
"Branta canadensis subsp. parvipes (Cassin, 1852)"	"Middelste Canadese gans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177381"	
"Branta hutchinsii subsp. leucopareia (Brandt, 1836)"	"Kleine Canadese gans (leucopareia)"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177382"	
"Branta hutchinsii subsp. minima Ridgway, 1885"	"Kleinste Canadese gans"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172179"	
"Branta hutchinsii subsp. taverneri Delacour, 1951"	"Taverners Canadese gans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177383"	
"Branta sandvicensis (Vigors, 1834)"	"Hawaiigans"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177314"	
"Bucephala islandica (Gmelin, 1789)"	"IJslandse brilduiker"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177315"	
"Bugula neritina (Linnaeus, 1758)"	"Paars vogelkopmosdiertje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=173007"	
"Bugulina simplex (Hincks, 1886)"	"Geel vogelkopmosdiertje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140393"	
"Bugulina stolonifera (Ryland, 1960)"	"Vogelkopmosdiertje"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=140392"	
"Bythotrephes brevimanus Lilljeborg, 1901"	"Gewone staartwatervlo"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144093"	
"Cabomba caroliniana A.Gray"	"Waterwaaier"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=119186"	
"Cairina moschata (Linnaeus, 1758)"	"Muskuseend"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172145"	
"Callinectes sapidus Rathbun, 1896"	"Blauwe zwemkrab"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143692"	
"Calliostoma zizyphinum (Linnaeus, 1758)"	"Priktolhoren"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137631"	
"Callonetta leucophrys (Vieillot, 1816)"	"Ringtaling"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=177317"	
"Calyptraea chinensis (Linnaeus, 1758)"	"Chinees hoedje"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=137433"	
"Caprella equilibra Say, 1818"	"Bruingevlekte spookkreeft"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178577"	
"Caprella mutica Schurin, 1935"	"Harige spookkreeft"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=143305"	
"Caprella scaura Templeton, 1836"	"Gehoornde spookkreeft"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182126"	
"Carassius auratus (Linnaeus, 1758)"	"Goudvis"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138724"	
"Carassius gibelio (Bloch, 1783)"	"Giebel"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138725"	
"Caspiobdella fadejewi (Epshtein, 1961)"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138291"	
"Caulacanthus okamurae Yamada, 1933"	"Puntig korstmoswier"	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=182640"	
"Celtodoryx ciocalyptoides (Burton, 1935)"	"Gele wratspons"	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172725"	
"Cephalothrix simula Iwata, 1952"	"Japanse snoerworm"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174970"	
"Ceramium botryocarpum A.W.Griffiths ex Harv."	""	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=178830"	
"Chaetogaster limnaei Baer, 1827"	""	"2 Exoot (onbepaald)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=138200"	
"Chalinula loosanoffi Hartman, 1958"	"Amerikaanse buisjesspons"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=136563"	
