"synonym_id","species_id","synonym_name","identification_reference"
146,1407,"Typhlodromus andersoni","Chant, 1957"
147,1407,"Typhlodromus brittanicus","Chant, 1959"
148,1408,"Typhlodromips cucumeris","Karg, 1970"
149,1409,"Amblyseius deleoni","Muma & Denmark, 1970"
150,1409,"Amblyseius giganticus","Gupta, 1981"
151,1409,"Amblyseius impactus","Chaudri, 1968"
152,1409,"Amblyseius thermophilus","Karg, 1991"
153,1409,"Typhlodromus amitae","Bhattacharyya, 1968"
154,1409,"Typhlodromus herbicolus","Chant, 1959"
155,1411,"Amblyseius major","Kolodochka, 1979"
156,1411,"Typhlodromips maior","Karg, 1970"
157,1411,"Typhlodromus masseei","Nesbitt, 1951"
158,1412,"Amblyseis spiramentatus","Athias-Henriot, 1961"
159,1412,"Typhlodromus calicis","Karg, 1960"
160,1413,"Typhlodromus intermedius","Bernhard, 1963"
161,1414,"Amblyseius bajulus","Chaudhri, Akbar & Rasool, 1979"
162,1414,"Amblyseius hamizensis","Athias-Henriot, 1961"
163,1414,"Amblyseius kurashvilli","Gomelauri, 1968"
164,1414,"Amblyseius microsetae","Muma, 1961"
165,1414,"Amblyseius rhabdus","Denmark, 1965"
166,1414,"Typhlodromus affatisetus","Wainstein, 1960"
167,1414,"Zercon obtusus","Koch, 1839"
168,1415,"Typhlodromus pinicolus","Karg, 1991"
169,1416,"Amblyseius khnzoriani","Wainstein & Arutunjan, 1970"
170,1426,"Scutovertex pseudomaculatus","Hull, 1914"
171,1427,"Ameronothrus bilineatus","Hull, 1916"
172,1427,"Scutovertex spoofi","Oudemans, 1900"
173,1428,"Ameronothrus lineatus","Willmann, 1937"
174,1428,"Ameronothrus lineatus","Koch, 1879"
175,1430,"Acarus corbicula","Sowerby, 1806"
176,1430,"Ameroseius crassisetosus","Ye & Ma, 1993"
177,1430,"Ameroseius norvegicus","Narita, Abduch & Moraes, 2015"
178,1430,"Ameroseius qinghaiensis","Li & Yang, 2000"
179,1430,"Cornubia ornata","Turk, 1943"
180,1430,"Seius echinatus","Koch, 1839"
181,1430,"Seius hirsutus","Berlese, 1887"
182,1431,"Amerus troisi","Berlese, 1883"
183,1431,"Amerus troisii","Selnick, 1928"
184,1452,"Amischa cavifrons","Sharp, 1869"
185,1452,"Amischa vogti","Benick, 1967"
186,1497,"Balanus amphitrite","Darwin, 1851"
187,1498,"Balanus eburneus","Gould, 1841"
188,1499,"Balanus improvisus","Darwin, 1854"
189,1505,"Pectinaria auricoma","Müller, 1776"
190,1511,"Amphigerontia pearmani","Roesler, 1943"
191,1532,"Sertularia operculata","Linnaeus, 1758"
192,1549,"Phacopteryx brevipennis","Curtis, 1834"
193,1551,"Anabremia longiventris","De Meijere, 1939"
194,1571,"Tetramesa graminicola","Giraud, 1863"
195,1573,"Tetramesa poicola","Hedicke, 1921"
196,1586,"Acarus chelopus","Hermann, 1804"
197,1586,"Dermaleichus passerinus","Koch, 1841"
198,1589,"Dermaleichus mucronatus","Buchholz, 1869"
199,1591,"Acarus avicularum","De Geer, 1778"
200,1591,"Acarus passerinus","Linnaeus, 1758"
201,1595,"Phlyctaenia coronata","Hufnagel, 1767"
202,1596,"Ebulea crocealis","Hübner, 1796"
203,1598,"Opsibotys fuscalis","Denis & Schiffermüller, 1775"
204,1599,"Eurrhypara hortulata","Linnaeus, 1758"
205,1600,"Perinephela lancealis","Denis & Schiffermüller, 1775"
206,1601,"Phlyctaenia perlucidalis","Hübner, 1809"
207,1602,"Phlyctaenia stachydalis","Germar, 1821"
208,1603,"Algedonia terrealis","Treitschke, 1829"
209,1610,"Anapausis tenuicauda","Duda, 1928"
210,1612,"Anagrus diversicornis","Soyka, 1956"
211,1612,"Anagrus valkenburgensis","Soyka, 1955"
212,1615,"Anagrus latipennis","Soyka, 1956"
213,1620,"Anagrus parvus","Soyka, 1956"
214,1643,"Anaphes capitulata","Soyka, 1949"
215,1643,"Anaphes filicornis","Soyka, 1949"
216,1643,"Anaphes maculata","Soyka, 1949"
217,1665,"Charadrius alexandrinus","Linnaeus, 1758"
218,1666,"Charadrius asiaticus","Pallas, 1773"
219,1667,"Charadrius leschenaultii","Lesson, 1826"
220,1671,"Hadula trifolii","Hufnagel, 1766"
221,1677,"Spatula clypeata","Linnaeus, 1758"
222,1685,"Mareca penelope","Linnaeus, 1758"
223,1688,"Spatula querquedula","Linnaeus, 1758"
224,1702,"Anaspis humeralis","Fabricius, 1775"
225,1714,"Corymbia sanguinolenta","Linnaeus, 1760"
226,1732,"Hemianax ephippiger","Burmeister, 1839"
227,1739,"Taeniacanthus lucipetus","Holmes, 1985"
228,1754,"Ancistronycha cyanipennis","Faldermann, 1835"
229,1783,"Andrena batava","Pérez, 1902"
230,1786,"Andrena gwynana","Kirby, 1802"
231,1787,"Andrena bluethgeni","Stöckhert, 1930"
232,1787,"Andrena morawitzi","Thomson, 1872"
233,1800,"Andrena obsoleta","Warncke, 1967"
234,1801,"Andrena propinqua","Schenck, 1853"
235,1807,"Andrena armata","Gmelin, 1790"
236,1825,"Andrena anthrisci","Blüthgen, 1925"
237,1834,"Andrena albofasciata","Thomson, 1870"
238,1836,"Andrena nigrospina","Thomson, 1872"
239,1841,"Andrena eximia","Smith, 1847"
240,1845,"Andrena jacobi","Perkins, 1921"
241,1845,"Andrena sabulosa","Scopoli, 1763"
242,1846,"Andrena saundersella","Perkins, 1914"
243,1847,"Andrena ocreata","Christ, 1791"
244,1848,"Andrena bremensis","Alfken, 1900"
245,1855,"Andrena carantonica","Perez, 1902"
246,1855,"Andrena spinigera","Kirby, 1802"
247,1892,"Iphis casalis","Berlese, 1887"
248,1893,"Atricholaelaps sigmodoni","Strandtmann, 1946"
249,1893,"Haemolaelaps scalopi","Keegan, 1946"
250,1893,"Laelaps californicus","Ewing, 1925"
251,1893,"Laelaps fahrenholzi","Berlese, 1911"
252,1893,"Laelaps glasgowi","Ewing, 1925"
253,1893,"Laelaps stegemani","Hefley, 1935"
254,1893,"Laelaps virginianus","Ewing, 1925"
255,1893,"Liponyssus setiger","Ewing, 1920"
256,1894,"Haemolaelaps fenilis","Mégnin, 1876"
257,1894,"Haemolaelaps mohrae","Oudemans, 1928"
258,1894,"Haemolaelaps molestus","Oudemans, 1929"
259,1894,"Haemolaelaps oculatus","Oudemans, 1915"
260,1895,"Hypoaspis hermaphrodita","Berlese, 1887"
261,1895,"Laelaps hermaphrodita","Berlese, 1887"
262,1910,"Anevrina claripennis","Becker, 1901"
263,1911,"Anevrina fennica","Becker, 1901"
264,1914,"Angiometopa ruralis","Fallén, 1817"
265,1920,"Anguillicola crassus","Kuwahara, Niimi & Itagaki, 1974"
266,1933,"Anisobas quadrialbatus","Constantineanu, 1951"
267,1957,"Anobium nitidum","Fabricius, 1792"
268,1968,"Anoetus discrepans","Oudemans, 1903"
269,1968,"Hypopus alicola","Dujardin, 1842"
270,1969,"Anogcodes ustulatus","Fabricius, 1787"
271,1974,"Euchlora cuprea","Hope, 1839"
272,1976,"Anomalocera patersonii","Templeton, 1837"
273,1982,"Anomoia antica","Wiedemann, 1830"
274,1982,"Anomoia permunda","Harris, 1782"
275,1990,"Anopheles bifurcatus","Meigen, 1818"
276,1994,"Anopheles nigripes","Staeger, 1839"
277,1995,"Eriococcus danzigae","Miller & Gimpel, 1996"
278,1996,"Acanthococcus inermis","Green, 1915"
279,1996,"Eriococcus inermis","Green, 1915"
280,1997,"Acanthococcus insignis","Newstead, 1891"
281,1997,"Eriococcus insignis","Newstead, 1891"
282,1998,"Atheta corvina","Thomson, 1856"
283,2022,"Perigrapha munda","Denis & Schiffermüller, 1775"
284,2047,"Chen canagica","Sevastianov, 1802"
285,2052,"Anser anser","Severtsov, 1873"
286,2061,"Antennoseius magniscutum","Weis-Fogh, 1947"
287,2061,"Antennoseius rarus","Pinchuk, 1972"
288,2061,"Vitzthumia magniscutum","Weis-Fogh, 1947"
289,2085,"Anthaxia sepulcharis","Fabricius, 1801"
290,2086,"Antherophagus nigricornis","Fabricius, 1787"
291,2087,"Antherophagus canescens","Grouvelle, 1916"
292,2093,"Cordicomus sellatus","Panzer, 1796"
293,2094,"Anthidium strigatum","Panzer, 1805"
294,2102,"Lathrimaeum unicolor","Marsham, 1802"
295,2104,"Anthocomus bipunctatus","Harrer, 1784"
296,2106,"Anthocomus coccineus","Schaller, 1783"
297,2121,"Anthomyia caesia","Macquart, 1835"
298,2121,"Anthomyia pullula","Zetterstedt, 1845"
299,2125,"Anthomyia parva","Kabos, 1975"
300,2131,"Anthomyza sordidella","Zetterstedt, 1848"
301,2142,"Furcipus rectirostris","Linnaeus, 1758"
302,2153,"Heliophila bimaculata","Panzer, 1798"
303,2155,"Clisodon furcata","Panzer, 1798"
304,2158,"Anthophora vulpina","Panzer, 1798"
305,2164,"Anthrax sinuatus","Meigen, 1804"
306,2168,"Anthrenus vorax","Waterhouse, 1883"
307,2270,"Dolichogenidea candidata","Haliday, 1834"
308,2280,"Geranolichus brachychaetus","Gaud, 1968"
309,2328,"Aphanotrigonum brachypterum","Zetterstedt, 1848"
310,2329,"Aphanotrigonum annuliferum","Zetterstedt, 1848"
311,2329,"Aphanotrigonum beschovskii","Dely-Draskovits, 1981"
312,2347,"Aphelia viburnana","Denis & Schiffermüller, 1775"
313,2350,"Aphelinus longicornis","Ferrière, 1962"
314,2391,"Phaenobremia aphidivora","Rübsaamen, 1891"
315,2451,"Toxopterina vandergooti","Börner, 1939"
316,2469,"Aphodius pedellus","De Geer, 1774"
317,2508,"Aphrodes aestuarinus","Edwards, 1908"
318,2509,"Aphrodes bicinctus","Schrank, 1776"
319,2511,"Aphrodite aculeata","Linnaeus, 1758"
320,2514,"Aphrophora alpina","Melichar, 1900"
321,2515,"Aphrophora costalis","Matsumura, 1903"
322,2529,"Aphytis fuscipennis","Howard, 1881"
323,2557,"Haplotarsus incanus","Gyllenhal, 1827"
324,2563,"Lophuromyopus apodemi","Fain, 1965"
325,2576,"Apohyale prevosti","Milne-Edwards, 1830"
326,2576,"Hyale prevosti","Milne-Edwards, 1830"
327,2578,"Amphilochus neapolitanus","Della Valle, 1893"
328,2626,"Apriona japonica","Thomson, 1878"
329,2644,"Aprostocetus spartii","Ratzeburg, 1852"
330,2649,"Aprostocetus dotus","Walker, 1839"
331,2661,"Aprostocetus fageti","Graham, 1961"
332,2667,"Aprostocetus abydenus","Walker, 1848"
333,2689,"Aprostocetus arundinis","Giraud, 1863"
334,2712,"Parastichtis ypsillon","Denis & Schiffermüller, 1775"
335,2735,"Tachymarptis melba","Linnaeus, 1758"
336,2746,"Hieraaetus fasciatus","Vieillot, 1822"
337,2749,"Hieraaetus pennatus","Gmelin, 1788"
338,2776,"Araeocerus fasciculatus","De Geer, 1775"
339,2777,"Araeocerus simulatus","Gyllenhal, 1833"
340,2779,"Araeoncus humillis","Blackwall, 1841"
341,2790,"Araniella opistographa","Kulczynski, 1905"
342,2800,"Curculio crux","Fabricius, 1777"
343,2801,"Curculio pyrrhoceras","Marsham, 1802"
344,2802,"Curculio salicivorus","Paykull, 1792"
345,2829,"Arctophila fulva","Harris, 1780"
346,2829,"Arctophila superbiens","Müller, 1776"
347,2836,"Acrtoseius bispinatus","Weis-Fogh, 1947"
348,2836,"Arctoseius erlangensis","Hirschmann, 1951"
349,2836,"Arctoseius halophilus","Willmann, 1949"
350,2836,"Lasioseius cetratus","Sellnick, 1940"
351,2837,"Seiulus minutus","Halbert, 1915"
352,2838,"Leioseius denticulosus","Hirschmann, 1962"
353,2839,"Arctoseius bicuspidatus","Willmann, 1949"
354,2839,"Arctoseius bispinatus","Weis-Fogh, 1947"
355,2839,"Arctoseius limburgensis","Nesbitt, 1954"
356,2839,"Arctoseius sellnicki","Karg, 1962"
357,2839,"Laelaps semiscissus","Berlese, 1892"
358,2839,"Lasioseius semiscissus","Berlese, 1892"
359,2840,"Arctoseius pannonicus","Willmann, 1949"
360,2840,"Lasioseius venustulus","Berlese, 1917"
361,2842,"Casmerodius albus","Linnaeus, 1758"
362,2842,"Egretta alba","Linnaeus, 1758"
363,2853,"Ardis brunniventris","Hartig, 1837"
364,2867,"Carios vespertilionis","Latreille, 1802"
365,2895,"Argyra argentata","Macquart, 1834"
366,2895,"Argyra argentella","Zetterstedt, 1843"
367,2895,"Argyra divergens","Parent, 1926"
368,2900,"Argyra confinis","Zetterstedt, 1849"
369,2934,"Argyroploce dalecarliana","Guenée, 1845"
370,2938,"Arhopalus tristis","Fabricius, 1787"
371,29596,"",""
372,2967,"Armadillidium nasutum","Budde-Lund, 1885"
373,3020,"Arrenurus schreuderi","Besseling, 1953"
374,3024,"Arrenurus curvisetus","Viets, 1936"
375,3052,"Arrenurus zachariae","Koenike, 1886"
376,3062,"Sacium nanum","Mulsant & Rey, 1861"
377,3071,"Arvicola terrestris","Linnaeus, 1758"
378,3075,"Steatoda phalerata","Panzer, 1801"
379,3083,"Angulus pygmaeus","Lovén, 1846"
380,3083,"Moerella pygmaea","Lovén, 1846"
381,3083,"Tellina pygmaea","Lovén, 1846"
382,3084,"Acarus aphidioides","Linnaeus, 1758"
383,3085,"Asca nova","Willmann, 1939"
384,3085,"Gamasus bicornis","Canestrini & Fanzago, 1877"
385,3096,"Aschistonyx carpinicola","Rübsaamen, 1917"
386,3139,"Gronops inaequalis","Boheman, 1842"
387,3145,"Ischnonyx prunorum","Wachtl, 1888"
388,3146,"Asphondylia mayeri","Liebel, 1889"
389,3154,"Aspidimorpha quadrimaculata","Olivier, 1808"
390,3155,"Aspidomorpha obovata","Klug, 1835"
391,3157,"Pseudaonidia duplex","Cockerell, 1896"
392,3160,"Arpidiphorus orbiculatus","Gyllenhal, 1808"
393,3193,"Acarus muscorum","Scopoli, 1763"
394,3193,"Liacarus bicornis","Warburton & Pearce, 1905"
395,3193,"Zetes pilosus","Koch, 1841"
396,3198,"Astenus longelytratus","Palm, 1936"
397,3204,"Asterocherus echinicola","Norman, 1868"
398,3213,"Pediobius acantha","Walker, 1839"
399,3230,"Asynapta populnea","Panelius, 1965"
400,3231,"Camptomyia strobi","Kieffer, 1920"
401,3239,"Athalia glabricollis","Thomson, 1870"
402,3252,"Athene noctua","Scopoli, 1769"
403,3252,"Athene noctua","Brehm, 1857"
404,3333,"Alaobia scapularis","Sahlberg, 1831"
405,3337,"Atheta anisi","Bernhauer, 1913"
406,3345,"Atheta nigricornis","Thomson, 1852"
407,3354,"Hister corvinus","Germar, 1817"
408,3396,"Atomaria procerula","Erichson, 1846"
409,3405,"Atomaria reitteri","Lövendal, 1893"
410,3406,"Atomaria barani","Brisout, 1863"
411,3432,"Atractides nodipalpis","Viets, 1920"
412,3454,"Atrichopogon hamifer","Goetghebuer, 1920"
413,3467,"Steganacarus diaphanus","Jacot, 1930"
414,3467,"Steganacarus striculus","Koch, 1836"
415,3470,"Attagenus gloriosus","Fabricius, 1798"
416,3478,"Aturus oudemansi","Besseling, 1932"
417,3479,"Aturus scaber","Romijn, 1921"
418,3485,"Atylotus plebejus","Fallén, 1817"
419,3500,"Baris chlorizans","Germar, 1824"
420,3501,"Baris cuprirostris","Fabricius, 1787"
421,3502,"Baris lepidii","Germar, 1824"
422,3503,"Baris picicornis","Marsham, 1802"
423,3505,"Aulacorthum solani","Börner, 1939"
424,3507,"Aulacorthum solani","Börner, 1942"
425,3512,"Bunodactis verrucosa","Pennant, 1777"
426,3520,"Aulagromyza lonicerae","Briscke, 1881"
427,3550,"Prionospio banyulensis","Laubier, 1966"
428,3551,"Achalcus melanotrichus","Mik, 1878"
429,3567,"Elminius modestus","Darwin, 1854"
430,3581,"Dermaleichus totani","Canestrini, 1878"
431,3605,"Azelia staegeri","Zetterstedt, 1845"
432,3606,"Azelia macquarti","Staeger, 1843"
433,3613,"Baccha obscuripennis","Meigen, 1822"
434,3633,"Bactromyia evonymella","Ratzeburg, 1844"
435,3633,"Bactromyia evonymellae","Ratzeburg, 1844"
436,3633,"Bactromyia prasinanae","Van der Wulp, 1869"
437,3633,"Bactromyia scutelligera","Zetterstedt, 1844"
438,3651,"Baetis binoculatus","Linnaeus, 1758"
439,3651,"Baetis bioculatus","Linnaeus, 1758"
440,3655,"Baetis pumilus","Burmeister, 1839"
441,3657,"Baetis wallengreni","Bengtsson, 1912"
442,3662,"Centroptilum tenellum","Albarda, 1878"
443,3662,"Raptobaetopus tenellus","Albarda, 1878"
444,3665,"Hydronomus alismatis","Marsham, 1802"
445,3669,"Dicranthus elegans","Fabricius, 1801"
446,3677,"Dicranthus majzlani","Kodada, Holecová & Behne, 1992"
447,3685,"Bagous angustus","Silfverberg, 1977"
448,3706,"Balistes carolinensis","Gmelin, 1789"
449,3712,"Ballus depressus","Walckenaer, 1802"
450,3713,"Heterochaeta costata","Claparède, 1863"
451,3713,"Tubifex costatus","Claparède, 1863"
452,3728,"Barbatula barbatulus","Linnaeus, 1758"
453,3780,"Barypithes trichopterus","Gautier, 1863"
454,3781,"Baryphyma maritima","Crocker & Parker, 1970"
455,3863,"Batrisodes delaportei","Aubé, 1833"
456,3884,"Belba pseudocorynopus","Märkel & Meyer, 1960"
457,3885,"Damaeus sufflexus","Michael, 1885"
458,3888,"Bellardia biseta","Kramer, 1917"
459,3890,"Bellardia aculeata","Pandellé, 1896"
460,3891,"Bellardia agilis","Meigen, 1826"
461,3918,"Bembidion tetragrammum","Netolitzky, 1914"
462,3940,"Bembidion bilunulatum","Bielz, 1852"
463,3945,"Bembidion stephensi","Crotch, 1866"
464,3965,"Beris strobli","Dusek & Rozkosny, 1968"
465,3998,"Bezzia brehmiana","Kieffer, 1924"
466,3999,"Bezzia solstitialis","Winnertz, 1852"
467,4000,"Bezzia albipes","Winnertz, 1852"
468,4002,"Bezzia spinifera","Goetghebuer, 1920"
469,4003,"Bezzia danica","Kieffer, 1915"
470,4003,"Bezzia xanthocephala","Goetghebuer, 1911"
471,4008,"Bezzia gracilis","Winnertz, 1852"
472,4011,"Bibio lepidus","Loew, 1871"
473,4015,"Bibio hybridus","Haliday, 1833"
474,4019,"Bibio lacteipennis","Zetterstedt, 1850"
475,4022,"Bibio atripes","Duda, 1930"
476,4034,"Bicellaria spuria","Meigen, 1824"
477,4038,"Bichaeta sanguinea","Vejdovský, 1891"
478,4039,"Metrioptera bicolor","Philippi, 1830"
479,4043,"Membranipora tenuis","Desor, 1848"
480,4044,"Spelobia bifrons","Stenhammar, 1855"
481,4048,"Allolobophoridella eiseni","Levinsen, 1884"
482,4049,"Dendrodrilus rubidus","Savigny, 1826"
483,4064,"Philonthus cephalotes","Gravenhorst, 1802"
484,4065,"Philonthus fimetarius","Gravenhorst, 1802"
485,4067,"Philonthus parcus","Sharp, 1874"
486,4069,"Philonthus puella","Nordmann, 1837"
487,4070,"Philonthus sordidus","Gravenhorst, 1802"
488,4071,"Philonthus sparsus","Lucas, 1846"
489,4072,"Philonthus spermophili","Ganglbauer, 1897"
490,4073,"Philonthus subuliformis","Gravenhorst, 1802"
491,4074,"Philonthus scribai","Fauvel, 1867"
492,4074,"Philonthus varipennis","Scriba, 1864"
493,4075,"Bos bonasus","Linnaeus, 1758"
494,4077,"Sabella crassicornis","Sars, 1851"
495,4110,"Blaesoxipha gladatrix","Pandellé, 1896"
496,4110,"Blaesoxipha lineata","Fallén, 1817"
497,4129,"Lasioseius dentriticus","Berlese, 1918"
498,4129,"Lasioseius fimbriatus","Halbert, 1923"
499,4129,"Seiulus amboinensis","Oudemans, 1925"
500,4131,"Blattisocius bakeri","Chant, 1963"
501,4131,"Typhlodromus mali","Oudemans, 1929"
502,4132,"Blattisocius triodons","Keegan, 1944"
503,4132,"Lasioseius similis","Schweizer, 1949"
504,4132,"Lasioseius tarsalis","Berlese, 1918"
505,4132,"Typhlodromus tineivorus","Oudemans, 1929"
506,4133,"Garmania urticana","Nesbitt, 1954"
507,4135,"Bledius bicornis","Lohse, 1978"
508,4135,"Bledius bicornis","Herman, 1986"
509,4135,"Bledius dama","Motschulsky, 1858"
510,4158,"Bledius spectabilis","Lohse, 1978"
511,4166,"Blennocampa pusilla","Klug, 1816"
512,4169,"Blepharipa scutellata","Robineau-Desvoidy, 1830"
