top	"Animalia"
rangen	"(alle)
statussen	"(0,0a,1,1a,1b,2,2a,2b,2c,2d,3a,3b,3c,3cE,3d,4)"

"scientific_name"	"common_name"	"rank"	"nsr_id"	"presence_status"	
"Abraeus parvulus Aubé, 1842"	""	"soort"	"0AHCYFBUOWUZ"	"1a"	
"Abraeus perpusillus (Marsham, 1802)"	""	"soort"	"0AHCYFBUOXVR"	"1a"	
"Abramis brama (Linnaeus, 1758)"	"Brasem"	"soort"	"000455863548"	"1a"	
"Abramis leuckartii Heckel, 1837"	""	"soort"	"0YFDNC8KUBJ8"	"4"	
"Abraxas grossulariata (Linnaeus, 1758)"	"Bonte bessenvlinder"	"soort"	"0AHCYFCJJFWR"	"1a"	
"Abraxas sylvata (Scopoli, 1763)"	"Porseleinvlinder"	"soort"	"0AHCYFCJJILL"	"1a"	
"Abrostola tripartita (Hufnagel, 1766)"	"Brandnetelkapje"	"soort"	"0AHCYFCLMHFU"	"1a"	
"Abrostola triplasia (Linnaeus, 1758)"	"Donker brandnetelkapje"	"soort"	"0AHCYFCLMIGM"	"1a"	
"Absyrtus vernalis Bauer, 1961"	""	"soort"	"0C87H5GG8O46"	"1a"	
"Absyrtus vicinator (Thunberg, 1824)"	""	"soort"	"0AHCYFATHKKB"	"1a"	
"Abyssoninoe hibernica (McIntosh, 1903)"	""	"soort"	"0OW85VV3ZQ3J"	"1a"	
"Abyssoninoe scopa (Fauchald, 1974)"	""	"soort"	"0U348D3O9OXW"	"4"	
"Acaenitus dubitator (Panzer, 1800)"	""	"soort"	"0AHCYFATHLYC"	"1a"	
"Acalitus brevitarsus (Fockeu, 1890)"	"Elzenviltmijt"	"soort"	"0AHCYSI10197"	"1a"	
"Acalitus calycophthirus (Nalepa, 1891)"	"Berkenknopmijt"	"soort"	"0AHCYSI10198"	"1a"	
"Acalitus essigi (Hassan, 1928)"	"Bramengalmijt"	"soort"	"00FZTI7BQ53S"	"1a"	
"Acalitus longisetosus (Nalepa, 1892)"	"Rode berkenbladmijt"	"soort"	"0AHCYSI10199"	"1a"	
"Acalitus phloeocoptes (Nalepa, 1890)"	"Pruimenschorsmijt"	"soort"	"0NMBPP6NBB0W"	"1a"	
"Acalitus plicans (Nalepa, 1917)"	"Beukenbladplooimijt"	"soort"	"0T2AIHZOG5T8"	"1a"	
"Acalitus rudis (Canestrini, 1890)"	"Berkenviltmijt"	"soort"	"0AHCYSI10200"	"1a"	
"Acalitus stenaspis (Nalepa, 1891)"	"Beukenbladrolmijt"	"soort"	"0AHCYSI10201"	"1a"	
"Acalles dubius Solari & Solari, 1907"	""	"soort"	"0AHCYFBSYCXE"	"1a"	
"Acalles fallax Boheman, 1844"	""	"soort"	"0AHCYFBSYCAL"	"1a"	
"Acalles lemur (Germar, 1824)"	""	"soort"	"0AHCYFBSYEUD"	"3b"	
"Acalles misellus Boheman, 1844"	""	"soort"	"0AHCYFBSYFQK"	"1a"	
"Acalles parvulus Boheman, 1837"	""	"soort"	"0AHCYFBSYGRC"	"3b"	
"Acalles ptinoides (Marsham, 1802)"	""	"soort"	"0AHCYFBSYHNJ"	"1a"	
"Acalvolia squamata (Oudemans, 1909)"	""	"soort"	"0QQ9FQYNZNIL"	"1a"	
"Acalypta carinata (Panzer, 1806)"	""	"soort"	"0AHCYSIDCOJR"	"1a"	
"Acalypta gracilis (Fieber, 1844)"	""	"soort"	"0AHCYSIDCPKJ"	"1a"	
"Acalypta marginata (Wolff, 1804)"	""	"soort"	"0AHCYSIDCQLC"	"1a"	
"Acalypta musci (Schrank, 1781)"	""	"soort"	"0AHCYSIDCRMG"	"1a"	
"Acalypta nigrina (Fallén, 1807)"	""	"soort"	"0AHCYSIDCSMY"	"1a"	
"Acalypta parvula (Fallén, 1807)"	""	"soort"	"0AHCYSIDCTNQ"	"1a"	
"Acalypta platycheila (Fieber, 1844)"	""	"soort"	"0AHCYSIDCUOJ"	"1a"	
"Acalyptus carpini (Fabricius, 1793)"	""	"soort"	"0AHCYFBSYKCD"	"1a"	
"Acampsis alternipes (Nees, 1816)"	""	"soort"	"0AHCYFARERCE"	"1a"	
"Acamptocladius submontanus (Edwards, 1932)"	""	"soort"	"0AHCYFBEDACQ"	"1a"	
"Acanosema nervosa (Thomson, 1859)"	""	"soort"	"0AHCYSI07859"	"1a"	
"Acanthinula aculeata (Müller, 1774)"	"Stekelslakje"	"soort"	"0AHCYFEPRODK"	"1a"	
"Acanthiophilus helianthi (Rossi, 1790)"	""	"soort"	"0AHCYFBNTZOI"	"1a"	
"Acanthis cabaret (Müller, 1776)"	"Kleine barmsijs"	"soort"	"0AHCYFCONJBC"	"1a"	
"Acanthis flammea (Linnaeus, 1758)"	"Grote barmsijs"	"soort"	"000464942373"	"1b"	
"Acanthis hornemanni (Holboell, 1843)"	"Witstuitbarmsijs"	"soort"	"000464942387"	"1b"	
"Acanthocardia aculeata Linnaeus, 1758"	"Grote hartschelp"	"soort"	"0AHCYSI11179"	"1b"	
"Acanthocardia echinata (Linnaeus, 1758)"	"Gedoornde hartschelp"	"soort"	"0AHCYSI11334"	"3a"	
"Acanthocardia paucicostata (Sowerby, 1834)"	"Tere hartschelp"	"soort"	"0AHCYSI11333"	"3a"	
"Acanthocardia tuberculata (Linnaeus, 1758)"	"Geknobbelde hartschelp"	"soort"	"0JPLADPSB6ND"	"4"	
"Acanthocephalus anguillae (Müller, 1780)"	""	"soort"	"02A55E8845C4"	"1a"	
"Acanthocephalus clavula (Dujardin, 1845)"	""	"soort"	"0AAAE6ED4E25"	"1a"	
"Acanthocephalus lucii (Müller, 1776)"	""	"soort"	"097BDABF44C6"	"1a"	
"Acanthocephalus ranae (Schrank, 1788)"	""	"soort"	"07771CB04493"	"1a"	
"Acanthocheilonema dracunculoides Cobbold, 1870"	""	"soort"	"0IHKRNJ3RQ89"	"3a"	
"Acanthocheilonema spirocauda (Leidy, 1858)"	""	"soort"	"0FU5YCTRD379"	"1a"	
"Acanthocheilus bicuspis (Wedl, 1855)"	""	"soort"	"0K6UJ0BH7F7F"	"1a"	
"Acanthocheilus rotundatus (Rudolphi, 1819)"	""	"soort"	"0KW3SJ2BR6N6"	"1a"	
"Acanthochitona crinita (Pennant, 1777)"	"Kleine borstelkeverslak"	"soort"	"0AHCYSI11125"	"1b"	
"Acanthochondria cornuta (Müller, 1776)"	""	"soort"	"0YAVLOL1SR5N"	"1a"	
"Acanthochondria limandae (Krøyer, 1863)"	""	"soort"	"02RY1PVNSUWK"	"1a"	
"Acanthochondria soleae (Krøyer, 1838)"	""	"soort"	"0HB4XHJFC1ZE"	"1a"	
"Acanthocinus aedilis (Linnaeus, 1758)"	"Timmerboktor"	"soort"	"0AHCYFBROUJK"	"1a"	
"Acanthocinus griseus (Fabricius, 1793)"	""	"soort"	"0MRMJNOXZ35L"	"2d"	
"Acanthococcus aceris Signoret, 1875"	""	"soort"	"0AHCYFAQDCXG"	"3a"	
"Acanthococcus ericae Signoret 1875"	""	"soort"	"0T6ZJAKZ7MSS"	"2d"	
"Acanthococcus roboris Goux, 1931"	""	"soort"	"03HCYJWNE5N9"	"2d"	
"Acanthocyclops robustus Sars, 1863"	""	"soort"	"0AHCYSI04228"	"1a"	
"Acanthocyclops sensitivus (Graeter & Chappuis, 1914)"	""	"soort"	"0AHCYSI04232"	"1a"	
"Acanthocyclops venustus (Norman & Scott, 1906)"	""	"soort"	"0AHCYSI04231"	"3c"	
"Acanthocyclops vernalis (Fischer, 1853)"	""	"soort"	"0AHCYSI04230"	"1a"	
"Acanthocyclops viridis (Jurine, 1820)"	""	"soort"	"02RORVJTUE2Z"	"1a"	
"Acanthodelphax denticauda (Boheman, 1847)"	""	"soort"	"0AHCYFAPTGFM"	"1a"	
"Acanthodelphax spinosa (Fieber, 1866)"	""	"soort"	"0AHCYFAPTHGQ"	"1a"	
"Acanthodoris pilosa (Abildgaard, 1789)"	"Egelslak"	"soort"	"0AHCYSI11101"	"1a"	
"Acantholeberis curvirostris (Müller, 1776)"	"Venwatervlo"	"soort"	"0AHCYSI03844"	"1a"	
"Acantholyda erythrocephala (Linnaeus, 1758)"	"Staalblauwe spinselbladwesp"	"soort"	"0AHCYFAWUBUU"	"1a"	
"Acantholyda flaviceps (Retzius, 1783)"	""	"soort"	"0AHCYFAWUCRB"	"1a"	
"Acantholyda hieroglyphica (Christ, 1791)"	"Gewone spinselbladwesp"	"soort"	"0AHCYFAWUDNH"	"1a"	
"Acantholyda laricis (Giraud, 1861)"	""	"soort"	"0AHCYFAWUEJO"	"2a"	
"Acantholyda posticalis (Matsumura, 1912)"	""	"soort"	"0AHCYFAWUFFV"	"1a"	
"Acanthophthirius etheldredae Perkins, 1925"	""	"soort"	"0O6YL4AC6PEQ"	"1a"	
"Acanthophthirius polonicus Haitlinger, 1978"	""	"soort"	"0HYJ4UXVV96G"	"1a"	
"Acanthopsyche atra (Linnaeus, 1767)"	"Zwarte heidezakdrager"	"soort"	"0AHCYSI00172"	"1a"	
"Acanthoscelides obtectus (Say, 1831)"	"Stambonenkever"	"soort"	"0AHCYFBQOZYV"	"2a"	
"Acanthosoma haemorrhoidale (Linnaeus, 1758)"	"Meidoornkielwants"	"soort"	"0AHCYSIBRAYF"	"1a"	
"Acanthothrips nodicornis (Reuter, 1880)"	""	"soort"	"0AHCYFAQPBTN"	"1a"	
"Acarapis woodi (Rennie, 1921)"	"Bijenmijt"	"soort"	"0AHCYSI10545"	"1a"	
"Acartauchenius scurrilis (Cambridge, 1872)"	""	"soort"	"0AHCYFOOGLOR"	"1a"	
"Acartia bifilosa (Giesbrecht, 1881)"	""	"soort"	"0AHCYSI04193"	"1a"	
"Acartia clausi Giesbrecht, 1889"	""	"soort"	"09AZGQC9S8L4"	"1a"	
"Acartia discaudata Giesbrecht, 1881"	""	"soort"	"0QLBQ60Y9MP9"	"1a"	
"Acartia hudsonica Pinhey, 1926"	""	"soort"	"0ND6KTYARTPK"	"1a"	
"Acartia longiremis Lilljeborg, 1853"	""	"soort"	"0TQGPIFU71TT"	"1a"	
"Acartia tonsa Dana, 1848"	"Langsprietroeipootkreeft"	"soort"	"0AHCYSI11748"	"2a"	
"Acartophthalmus bicolor Oldenberg, 1910"	""	"soort"	"0AHCYFBBSYVH"	"1a"	
"Acartophthalmus nigrinus (Zetterstedt, 1848)"	""	"soort"	"0AHCYFBBSZRO"	"1a"	
"Acarus nidicolus Griffiths, 1970"	""	"soort"	"0IZPBOP8SG3P"	"1a"	
"Acarus siro Linnaeus, 1758"	""	"soort"	"0980ADX8E8QG"	"1a"	
"Acasis viretata (Hübner, 1799)"	"Groene blokspanner"	"soort"	"0AHCYFCJJUPZ"	"1a"	
"Acaudinum centaureae (Koch, 1854)"	""	"soort"	"0AHCYSI00838"	"1a"	
"Accipiter gentilis (Linnaeus, 1758)"	"Havik"	"soort"	"000464941632"	"1a"	
"Accipiter nisus (Linnaeus, 1758)"	"Sperwer"	"soort"	"000464942064"	"1a"	
"Acemya acuticornis (Meigen, 1824)"	""	"soort"	"0AHCYFBMVHPP"	"1a"	
"Acentria ephemerella (Denis & Schiffermüller, 1775)"	"Duikermot"	"soort"	"0AHCYFCIEFRD"	"1a"	
"Acentrotypus brunnipes (Boheman, 1839)"	""	"soort"	"0AHCYFBQJKBF"	"1a"	
"Aceratoneuromyia granularis Domenichini, 1967"	""	"soort"	"0AHCYFAZRYCP"	"1a"	
"Acercopsis pistillifer (Koenike, 1908)"	""	"soort"	"0AHCYFCQCPNS"	"1a"	
"Acerella muscorum (Ionesco, 1930)"	""	"soort"	"0885F2A642EE"	"3c"	
"Acerella remyi (Conde, 1944)"	""	"soort"	"0B6596744CF4"	"3c"	
"Acerentomon affine Bagnall, 1912"	""	"soort"	"04C092D64887"	"3c"	
"Acerentomon doderoi Silvestri, 1907"	""	"soort"	"0AHCYSI03202"	"1a"	
"Acerentomon gallicum Ionesco, 1933"	""	"soort"	"002137064FF6"	"3c"	
"Acerentomon nemorale Womersley, 1927"	""	"soort"	"02646DCB4FC5"	"3c"	
"Acerentulus confinis (Berlese, 1908)"	""	"soort"	"07EB8CCA439D"	"3c"	
"Acerentulus cunhai Conde, 1950"	""	"soort"	"0BCFC42345AD"	"3c"	
"Acerentulus silvanus Szeptycki , 1991"	""	"soort"	"0EDE883B4943"	"3c"	
"Acerentulus traegardhi Ionesco, 1937"	""	"soort"	"091439214B8E"	"3c"	
"Aceria aceriscampestris (Nalepa, 1922)"	"Spaanse aakknobbelmijt"	"soort"	"0MTJUL6PM2IB"	"1a"	
"Aceria anceps (Nalepa, 1892)"	"Ereprijsmijt"	"soort"	"0AHCYSI10144"	"1a"	
"Aceria angustifoliae Denizham, Monfreda, de Lillo & Çobanoglu, 2008"	""	"soort"	"0LVVSFXWUBU3"	"1b"	
"Aceria artemisiae (Canestrini, 1891)"	"Bijvoetmijt"	"soort"	"0AHCYSI10145"	"1a"	
"Aceria brevirostris (Nalepa, 1892)"	"Vleugeltjesbloemmijt"	"soort"	"0AHCYSI10146"	"1a"	
"Aceria calathina (Nalepa, 1917)"	"Boerenwormkruidmijt"	"soort"	"0XS7YZ9TL6HZ"	"1a"	
"Aceria campestricola (Frauenfeld, 1865)"	"Iepenknobbelmijt"	"soort"	"0AHCYSI10147"	"1a"	
"Aceria centaureae (Nalepa, 1891)"	"Knoopkruidmijt"	"soort"	"0AHCYSI10148"	"1a"	
"Aceria cephalonea (Nalepa, 1922)"	"Esdoornknobbelmijt"	"soort"	"0RHGUQN7VODW"	"1a"	
"Aceria convolvuli (Nalepa, 1898)"	"Windemijt"	"soort"	"0AHCYSI10149"	"1a"	
"Aceria cornuta (Reuter, 1900)"	"Gehoornde grasaarmijt"	"soort"	"0AHCYSI10150"	"1a"	
"Aceria destructor (Nalepa, 1891)"	"Tripmadammijt"	"soort"	"0AHCYSI10151"	"1a"	
"Aceria dispar (Nalepa, 1891)"	"Populierenrozetmijt"	"soort"	"0AHCYSI10152"	"1a"	
"Aceria drabae (Nalepa, 1890)"	"Hongerbloempjesmijt"	"soort"	"0AHCYSI10153"	"1a"	
"Aceria empetri (Lindroth, 1899)"	"Kraaiheidemijt"	"soort"	"0AHCYSI10154"	"1a"	
"Aceria enantha (Nalepa, 1892)"	"Zandblauwtjesmijt"	"soort"	"0AHCYSI10155"	"1a"	
"Aceria erinea (Nalepa, 1891)"	"Okkernootviltmijt"	"soort"	"0AHCYSI10156"	"2"	
"Aceria euaspis (Nalepa, 1892)"	"Rolklavermijt"	"soort"	"0AHCYSI10157"	"1a"	
"Aceria euphrasiae (Nalepa, 1891)"	"Ogentroostmijt"	"soort"	"0AHCYSI10158"	"1a"	
"Aceria exigua (Liro, 1940)"	"Struikheidemijt"	"soort"	"0AHCYSI10159"	"1a"	
"Aceria ficus (Cotte, 1920)"	""	"soort"	"01F77ECH36UF"	"1b"	
"Aceria fraxinivora (Nalepa, 1909)"	"Essenbloesemmijt"	"soort"	"0AHCYSI10160"	"1a"	
"Aceria galiobia (Canestrini, 1891)"	"Walstropeertjesmijt"	"soort"	"0AHCYSI10161"	"1a"	
"Aceria genistae (Nalepa, 1892)"	"Brembolletjesmijt"	"soort"	"0AHCYSI10162"	"1a"	
"Aceria geranii (Canestrini, 1891)"	"Ooievaarsbekmijt"	"soort"	"0AHCYSI10163"	"1a"	
"Aceria granulata Carmona, 1972"	""	"soort"	"0AHCYSI10164"	"1a"	
"Aceria hippophaena (Nalepa, 1898)"	"Duindoornmijt"	"soort"	"0AHCYSI10165"	"1a"	
"Aceria horrida Nalepa, 1917"	""	"soort"	"08O5K3PJM5YR"	"1b"	
"Aceria hypochoerina (Nalepa, 1893)"	"Biggenkruidmijt"	"soort"	"0AHCYSI10166"	"1a"	
"Aceria iteina (Nalepa, 1925)"	"Gesteelde wilgwratmijt"	"soort"	"0AHCYSI10167"	"1a"	
"Aceria labiatiflorae (Thomas, 1872)"	"Marjoleinmijt"	"soort"	"0FPDZ8I9YR5Q"	"1a"	
"Aceria laticincta (Nalepa, 1892)"	"Wederikmijt"	"soort"	"0AHCYSI10168"	"1a"	
"Aceria leioprocta (Nalepa, 1892)"	"Kruiskruidmijt"	"soort"	"0AHCYSI10169"	"1a"	
"Aceria loewi (Nalepa, 1890)"	"Vliermijt"	"soort"	"018TTF08WSZU"	"1a"	
"Aceria lycopersici (Wolffenstein, 1879)"	"Tomatenmijt"	"soort"	"0AHCYSI10170"	"1a"	
"Aceria macrochela (Nalepa, 1891)"	"Esdoornnerfhoekmijt"	"soort"	"0AHCYSI10172"	"1a"	
"Aceria macrocheluserinea (Trotter, 1902)"	"Esdoornviltmijt"	"soort"	"048QPLL31C4I"	"1a"	
"Aceria macrorhyncha (Nalepa, 1889)"	"Esdoornhoornmijt"	"soort"	"0AHCYSI10173"	"1a"	
"Aceria macrotuberculata (Nalepa, 1895)"	"Valeriaanmijt"	"soort"	"0AHCYSI10174"	"1a"	
"Aceria megacera (Canestrini & Massalongo, 1893)"	"Watermuntbloesemmijt"	"soort"	"09QYDSMJQ47G"	"1a"	
"Aceria mentharia (Canestrini, 1890)"	"Akkermuntbloesemmijt"	"soort"	"0EUIQYXGVMMO"	"1a"	
"Aceria multistriata (Nalepa, 1891)"	""	"soort"	"0AHCYSI10175"	"1a"	
"Aceria myriadeum (Murray, 1877)"	""	"soort"	"0LAXK7WKR3FC"	"1b"	
"Aceria nervisequa (Canestrini, 1891)"	"Beukenbladviltmijt"	"soort"	"0AHCYSI10176"	"1a"	
"Aceria oculata (Oudemans, 1925)"	""	"soort"	"0AHCYSI10177"	"1a"	
"Aceria ononidis (Canestrini, 1890)"	"Stalkruidmijt"	"soort"	"0AHCYSI10178"	"1a"	
"Aceria oxalidis (Trotter, 1902)"	"Klaverzuringmijt"	"soort"	"0AHCYSI10179"	"1a"	
"Aceria peucedani (Canestrini, 1892)"	"Melkeppemijt"	"soort"	"0AHCYSI10180"	"1a"	
"Aceria pilosellae (Nalepa, 1892)"	"Muizenoortjesmijt"	"soort"	"0266FIAJ2KHU"	"1a"	
"Aceria plicator (Nalepa, 1890)"	"Klaverbloemmijt"	"soort"	"0AHCYSI10181"	"1a"	
"Aceria pseudoplatanea (Nalepa, 1922)"	""	"soort"	"0AHCYSI10182"	"1a"	
"Aceria pseudoplatani (Corti, 1905)"	"Gewone esdoornmijt"	"soort"	"0AHCYSI10183"	"1a"	
"Aceria rechingeri (Nalepa, 1903)"	"Streepzaadmijt"	"soort"	"0AHCYSI10184"	"1a"	
"Aceria rudis (Nalepa, 1902)"	""	"soort"	"0AHCYSI10185"	"1a"	
"Aceria sanguisorbae (Canestrini, 1892)"	"Pimpernelmijt"	"soort"	"0AHCYSI10186"	"1a"	
"Aceria schlechtendali (Nalepa, 1892)"	"Reigersbekmijt"	"soort"	"0QMK0Y2TAFKE"	"1a"	
"Aceria silenes (Liro, 1940)"	"Silenemijt"	"soort"	"0AHCYSI10187"	"1a"	
"Aceria solida (Nalepa, 1892)"	"Andoornmijt"	"soort"	"0AHCYSI10188"	"1a"	
"Aceria squalida (Nalepa, 1892)"	"Duifkruidmijt"	"soort"	"0AHCYSI10189"	"1a"	
"Aceria subtilis (Nalepa, 1892)"	""	"soort"	"0C95E4TMP222"	"1b"	
"Aceria tenella (Nalepa, 1892)"	"Haagbeuknerfhoekmijt"	"soort"	"0PRDYUWGWBJ2"	"1a"	
"Aceria tenuis (Nalepa, 1891)"	"Gewone grasaarmijt"	"soort"	"0AHCYSI10190"	"1a"	
"Aceria thomasi (Nalepa, 1889)"	"Tijmrozetmijt"	"soort"	"0AHCYSI10191"	"1a"	
"Aceria trifolii (Nalepa, 1892)"	"Klavermijt"	"soort"	"0AVI80HOXZKD"	"1a"	
"Aceria tristriata (Nalepa, 1890)"	""	"soort"	"02DB6FYF0SIA"	"1b"	
"Aceria tuberculata (Nalepa, 1891)"	"Boerenwormkruidbladmijt"	"soort"	"0AHCYSI10192"	"1a"	
"Aceria tulipae (Keifer, 1938)"	""	"soort"	"0AHCYSI10193"	"1a"	
"Aceria ulmi (Garman, 1883)"	"Iepenvlekmijt"	"soort"	"0E7SQ7I98WPC"	"1a"	
"Aceria unguiculata (Canestrini, 1891)"	"Buxustopmijt"	"soort"	"0AHCYSI10194"	"1a"	
"Aceria varia (Nalepa, 1892)"	"Populierenviltmijt"	"soort"	"0AHCYSI10195"	"1a"	
"Aceria vitalbae (Canestrini, 1892)"	"Bosrankmijt"	"soort"	"0AHCYSI10196"	"1a"	
"Acericecis vitrina (Kieffer, 1909)"	""	"soort"	"0TJVZPP9MUVB"	"1b"	
"Acericerus heydenii (Kirschbaum, 1868)"	""	"soort"	"0AHCYFAPCSEX"	"1a"	
"Acericerus ribauti Nickel & Remane, 2002"	""	"soort"	"0B70C13F4414"	"1a"	
"Acericerus vittifrons (Kirschbaum, 1868)"	""	"soort"	"0AHCYFAPCUGU"	"1a"	
"Acerocnema macrocera (Meigen, 1826)"	""	"soort"	"0X2BC5IDNUM3"	"1a"	
"Acetropis carinata (Herrich-Schaeffer, 1841)"	""	"soort"	"0AHCYSICGSJD"	"1a"	
"Acetropis gimmerthalii (Flor, 1860)"	""	"soort"	"0AHCYSICGTJW"	"1a"	
"Achaeta eiseni (Vejdovský, 1878)"	""	"soort"	"0F5ZU4BMMH9Z"	"4"	
"Achaeus cranchii Leach, 1817"	""	"soort"	"0RX7W9BSUTC0"	"1a"	
"Achaius oratorius (Fabricius, 1793)"	""	"soort"	"0AHCYFATHNME"	"1a"	
"Achalcerinys lindus (Mercet, 1921)"	""	"soort"	"0AHCYFAZNQIE"	"1a"	
"Achalcus cinereus (Haliday in Walker, 1851)"	""	"soort"	"0AHCYFBFUJHB"	"1a"	
"Achalcus flavicollis (Meigen, 1824)"	""	"soort"	"0AHCYFBFUKHU"	"1a"	
"Achalcus vaillanti Bunhes, 1987"	""	"soort"	"0AHCYFBFUMJQ"	"1a"	
"Achanthiptera rohrelliformis (Robineau-Desvoidy, 1830)"	""	"soort"	"0AHCYFBIHYMA"	"1a"	
"Achelia echinata Hodge, 1864"	""	"soort"	"0AHCYSI11664"	"1a"	
"Achelia laevis Hodge, 1864"	""	"soort"	"0QB40SHE1QWK"	"4"	
"Achenium depressum (Gravenhorst, 1802)"	""	"soort"	"0AHCYFBWSSFU"	"1a"	
"Achenium humile (Nicolai, 1822)"	""	"soort"	"0AHCYFBWSTKY"	"1a"	
"Acherontia atropos (Linnaeus, 1758)"	"Doodshoofdvlinder"	"soort"	"0AHCYFCMTVQH"	"1b"	
"Acheta domesticus (Linnaeus, 1758)"	"Huiskrekel"	"soort"	"000464553434"	"2a"	
"Achipteria coleoptrata (Linnaeus, 1758)"	""	"soort"	"0AHCYSI10337"	"1a"	
"Achipteria nitens (Nicolet, 1855)"	""	"soort"	"0AHCYSI10338"	"1a"	
"Achlya flavicornis (Linnaeus, 1758)"	"Lente-orvlinder"	"soort"	"0AHCYFCIOIWO"	"1a"	
"Achroia grisella (Fabricius, 1794)"	"Kleine wasmot"	"soort"	"0AHCYFCMNAEG"	"1a"	
"Achromadora pseudomicoletzkyi Van der Linde, 1938"	""	"soort"	"0AHCYSI02009"	"1a"	
"Achromadora ruricola (De Man, 1880)"	""	"soort"	"0AHCYSI02008"	"1a"	
"Achromadora tenax (De Man, 1876)"	""	"soort"	"0AHCYSI02007"	"1a"	
"Achromadora terricola (De Man, 1880)"	""	"soort"	"0AHCYSI02006"	"1a"	
"Achrysocharoides acerianus (Askew, 1974)"	""	"soort"	"0AHCYFAZRZQR"	"1a"	
"Achrysocharoides atys (Walker, 1839)"	""	"soort"	"0AHCYFAZSANJ"	"1a"	
"Achrysocharoides bukkensis (Erdös, 1958)"	""	"soort"	"0AHCYFAZSCOU"	"1a"	
"Achrysocharoides butus (Walker, 1839)"	""	"soort"	"0AHCYFAZSDLB"	"1a"	
"Achrysocharoides carpinii Bryan, 1980"	""	"soort"	"0AHCYFAZSEQF"	"1a"	
