Synonym,Taxon
"Conobathra repandana (Fabricius, 1798)","Acrobasis repandana (Fabricius, 1798)"
"Trachycera suavella (Zincken, 1818)","Acrobasis suavella (Zincken, 1818)"
"Conobathra tumidana (Denis & Schiffermuller, 1775)","Acrobasis tumidana (Denis & Schiffermuller, 1775)"
"Acrocera trigramma Loew, 1845","Acrocera sanguinea Meigen, 1804"
"Amphiura brachiata (Montagu, 1804)","Acrocnida brachiata (Montagu, 1804)"
"Galumna filata Oudemans, 1913","Acrogalumna longipluma (Berlese, 1904)"
"Oribata setiformes Hall, 1911","Acrogalumna longipluma (Berlese, 1904)"
"Atheta amplicollis (Mulsant & Rey, 1873)","Acrotona amplicollis (Mulsant & Rey, 1873)"
"Atheta clientula (Erichson, 1839)","Acrotona clientula (Erichson, 1839)"
"Atheta fungi (Gravenhorst, 1806)","Acrotona fungi (Gravenhorst, 1806)"
"Atheta orbata (Erichson, 1837)","Acrotona orbata (Erichson, 1837)"
"Atheta orphana (Erichson, 1837)","Acrotona orphana (Erichson, 1837)"
"Actia frontalis Macquart, 1845","Actia lamia (Meigen, 1838)"
"Actia nudibasis Stein, 1924","Actia resinellae (Schrank, 1781)"
"Actina nitens (Latreille, 1806)","Actina chalybea Meigen, 1804"
"Actites hypoleucos (Linnaeus, 1758)","Actitis hypoleucos (Linnaeus, 1758)"
"Actites macularia (Linnaeus, 1766)","Actitis hypoleucos (Linnaeus, 1758)"
"Aculus craspedobia (Nalepa, 1925)","Aculus craspedobius (Nalepa, 1925)"
"Eriophyes kerneri (Nalepa, 1894)","Aculus kerneri (Nalepa, 1894)"
"Belba geniculosa Oudemans, 1929","Adamaeus onustus (Koch, 1841)"
"Damaeus geniculatus Koch, 1841","Adamaeus onustus (Koch, 1841)"
"Damaeus onustus Koch, 1841","Adamaeus onustus (Koch, 1841)"
"Dreyfusia piceae (Ratzeburg, 1844)","Adelges piceae (Ratzeburg, 1844)"
"Adia pusilla (Meigen, 1826)","Adia cinerella (Fallen, 1825)"
"Admontia decorata (Zetterstedt, 1849)","Admontia seria (Meigen, 1824)"
"Adoristes poppei (Oudemans, 1906)","Adoristes ovatus (Koch, 1840)"
"Leiosoma pyrigerum Berlese, 1888","Adoristes ovatus (Koch, 1840)"
"Ochlerotatus atropalpus (Coquillett, 1902)","Aedes atropalpus (Coquillett, 1902)"
"Aedes nemorosus (Meigen, 1818)","Aedes communis (De Geer, 1776)"
"Aeolosoma hemprichi Ehrenberg, 1928","Aeolosoma hemprichi Ehrenberg, 1831"
"Phyllocoptes annulatus (Nalepa, 1897)","Aequsomatus annulatus (Nalepa, 1897)"
"Aeshna isosceles (Muller, 1767)","Aeshna isoceles (Muller, 1767)"
"Aeshna coluberculus Harris, 1782","Aeshna mixta Latreille, 1805"
"Inachis io (Linnaeus, 1758)","Aglais io (Linnaeus, 1758)"
"Aglaophamus rubella (Michaelsen, 1897)","Aglaophamus agilis (Langerhans, 1880)"
"Agonopterix oinochroa (Turati, 1879)","Agonopterix oinochroa (Turati, 1879)"
"Agria punctata Robineau-Desvoidy, 1830","Agria affinis (Fallen, 1817)"
"Plebeius optilete (Knoch, 1781)","Agriades optilete (Knoch, 1781)"
"Omphaloscelis lunosa (Haworth, 1809)","Agrochola lunosa (Haworth, 1809)"
"Agromyza albohyalinata Zetterstedt, 1848","Agromyza albipennis Meigen, 1830"
"Agromyza populi Hendel, 1920","Agromyza albitarsis Meigen, 1830"
"Agromyza niveipennis Zetterstedt, 1848","Agromyza ambigua Fallen, 1823"
"Agromyza potentillae (Kaltenbach, 1864)","Agromyza idaeiana Hardy, 1853"
"Agromyza sanguisorbae Hendel, 1931","Agromyza idaeiana Hardy, 1853"
"Agromyza spiraeae Kaltenbach, 1867","Agromyza idaeiana Hardy, 1853"
"Agromyza humuli Hering, 1924","Agromyza igniceps Hendel, 1920"
"Agromyza airae Karl, 1926","Agromyza lucida Hendel, 1920"
"Agromyza urticae Nowakowski, 1964","Agromyza pseudoreptans Nowakowski, 1967"
"Agrypnus murinus (Linnaeus, 1758)","Agrypnus murina (Linnaeus, 1758)"
"Meioneta affinis (Kulczynski, 1898)","Agyneta affinis (Kulczynski, 1898)"
"Meioneta beata Cambridge, 1906","Agyneta affinis (Kulczynski, 1898)"
"Meioneta innotabilis (Cambridge, 1863)","Agyneta innotabilis (Cambridge, 1863)"
"Meioneta mollis (Cambridge, 1871)","Agyneta mollis (Cambridge, 1871)"
"Meioneta rurestris (Koch, 1836)","Agyneta rurestris (Koch, 1836)"
"Meioneta saxatilis (Blackwall, 1844)","Agyneta saxatilis (Blackwall, 1844)"
"Glossiphonia heteroclita (Linnaeus, 1761)","Alboglossiphonia heteroclita (Linnaeus, 1761)"
"Glossosiphonia heteroclita (Linnaeus, 1761)","Alboglossiphonia heteroclita (Linnaeus, 1761)"
"Alcyonidium mytili Dalyell, 1848","Alcyonidioides mytili (Dalyell, 1848)"
"Aleochara kamila Likovsky, 1984","Aleochara diversa (Sahlberg, 1876)"
"Aleochara albovillosa Bernhauer, 1901","Aleochara funebris Wollaston, 1864"
"Polystomota grisea (Kraatz, 1856)","Aleochara grisea Kraatz, 1856"
"Aleochara haematodes Schaum, 1862","Aleochara haematoptera Kraatz, 1858"
"Aleochara ripicola Mulsant & Rey, 1874","Aleochara haematoptera Kraatz, 1858"
"Emplenota obscurella (Gravenhorst , 1806)","Aleochara obscurella Gravenhorst, 1806"
"Polystomota punctatella (Motschulsky, 1858)","Aleochara punctatella Motschulsky, 1858"
"Rheochara spadicea (Erichson, 1837)","Aleochara spadicea (Erichson, 1837)"
"Tyroglyphus ovatus Troupeau, 1878","Aleuroglyphus ovatus (Troupeau, 1878)"
"Aleuonota egregia (Rye, 1875)","Alevonota egregia (Rye, 1875)"
"Aleuonota gracilenta (Erichson, 1839)","Alevonota gracilenta (Erichson, 1839)"
"Aleuonota rufotestacea (Kraatz, 1856)","Alevonota rufotestacea (Kraatz, 1856)"
"Balea biplicata (Montagu, 1803)","Alinda biplicata (Montagu, 1803)"
"Nereis virens Sars, 1835","Alitta virens (Sars, 1835)"
"Sminthurus fuscus Tullberg, 1871","Allacma fusca (Linnaeus, 1758)"
"Agelena gracilens Koch, 1841","Allagelena gracilens (Koch, 1841)"
"Alliphis alpinus Schweizer, 1961","Alliphis halleri (G. & R. Canestrini, 1881)"
"Alliphis siculus Karg, 1971","Alliphis halleri (G. & R. Canestrini, 1881)"
"Gamasus halleri G. & R. Canestrini, 1881","Alliphis halleri (G. & R. Canestrini, 1881)"
"Pseudosmittia arenaria Strenzke, 1960","Allocladius arenarius (Strenzke, 1960)"
"Lindebergia bothnica Tuiskunen, 1984","Allocladius bothnicus (Tuiskunen, 1984)"
"Allocotocera flava (Dziedzicki, 1889)","Allocotocera pulchella (Curtis, 1837)"
"Allodia longicornis (Van der Wulp, 1859)","Allodia ornaticollis (Meigen, 1818)"
"Allodia nigricollis (Zetterstedt, 1852)","Allodia ornaticollis (Meigen, 1818)"
"Pterocolus bisetatus Haller, 1881","Alloptes bisetatus (Haller, 1881)"
"Dermaleichus crassipes Canestrini, 1878","Alloptes crassipes (Canestrini, 1878)"
"Plicatalloptes pelecani (Dubinin, 1956)","Alloptes pelecani Dubinin, 1956"
"Suctobelba europaea Willmann, 1933","Allosuctobelba grandis (Paoli, 1908)"
"Alloxysta defecta (Hartig, 1841)","Alloxysta castanea (Hartig, 1841)"
"Atheta cambrica (Wollaston, 1855)","Aloconota cambrica (Wollaston, 1855)"
"Atheta currax (Kraatz, 1856)","Aloconota currax (Kraatz, 1856)"
"Acroperus elongatus (Sars, 1862)","Alonopsis elongata (Sars, 1862)"
"Alopochen aegyptiacus (Linnaeus, 1766)","Alopochen aegyptiaca (Linnaeus, 1766)"
"Altica pusilla Duftschmid, 1825","Altica helianthemi (Allard, 1859)"
"Bowerbankia citrina (Hincks, 1877)","Amathia citrina (Hincks, 1877)"
"Bowerbankia gracilis Leidy, 1855","Amathia gracilis (Leidy, 1855)"
"Bowerbankia imbricata (Adams, 1798)","Amathia imbricata (Adams, 1798)"
"Amauromyza exigua (Meigen, 1830)","Amauromyza flavifrons (Meigen, 1830)"
"Amauromyza hendeli (De Meijere, 1924)","Amauromyza luteiceps (Hendel, 1920)"
"Gabucinia psittaci Fain & Vercammen-Grandjean, 1966","Amazonectes psittaci (Fain & Vercammen-Grandjean, 1966)"
"Gamasus dentipes Koch, 1839","Amblygamasus dentipes (Koch, 1839)"
"Raja radiata Donovan, 1808","Amblyraja radiata (Donovan, 1808)"
"Amblyseiopsis potentillae (Garman, 1958)","Amblyseius andersoni (Chant, 1957)"
"Amblyseius garui Gupta, 1969","Amblyseius andersoni (Chant, 1957)"
"Amblyseius potentillae Garman, 1958","Amblyseius andersoni (Chant, 1957)"
"Amblyseius reflexus Denmark & Knisley, 1978","Amblyseius andersoni (Chant, 1957)"
"Typhlodromus andersoni Chant, 1957","Amblyseius andersoni (Chant, 1957)"
"Typhlodromus brittanicus Chant, 1959","Amblyseius andersoni (Chant, 1957)"
"Amblyseius deleoni Muma & Denmark, 1970","Amblyseius herbicolus (Chant, 1959)"
"Amblyseius giganticus Gupta, 1981","Amblyseius herbicolus (Chant, 1959)"
"Amblyseius impactus Chaudri, 1968","Amblyseius herbicolus (Chant, 1959)"
"Amblyseius thermophilus Karg, 1991","Amblyseius herbicolus (Chant, 1959)"
"Typhlodromus amitae Bhattacharyya, 1968","Amblyseius herbicolus (Chant, 1959)"
"Typhlodromus herbicolus Chant, 1959","Amblyseius herbicolus (Chant, 1959)"
"Amblyseius major Kolodochka, 1979","Amblyseius masseei (Nesbitt, 1951)"
"Typhlodromips maior Karg, 1970","Amblyseius masseei (Nesbitt, 1951)"
"Typhlodromus masseei Nesbitt, 1951","Amblyseius masseei (Nesbitt, 1951)"
"Amblyseis spiramentatus Athias-Henriot, 1961","Amblyseius meridionalis Berlese, 1914"
"Typhlodromus calicis Karg, 1960","Amblyseius meridionalis Berlese, 1914"
"Typhlodromus intermedius Bernhard, 1963","Amblyseius neobernhardi Athias-Henriot, 1966"
"Amblyseius bajulus Chaudhri, Akbar & Rasool, 1979","Amblyseius obtusus (Koch, 1839)"
"Amblyseius hamizensis Athias-Henriot, 1961","Amblyseius obtusus (Koch, 1839)"
"Amblyseius kurashvilli Gomelauri, 1968","Amblyseius obtusus (Koch, 1839)"
"Amblyseius microsetae Muma, 1961","Amblyseius obtusus (Koch, 1839)"
"Amblyseius rhabdus Denmark, 1965","Amblyseius obtusus (Koch, 1839)"
"Typhlodromus affatisetus Wainstein, 1960","Amblyseius obtusus (Koch, 1839)"
"Zercon obtusus Koch, 1839","Amblyseius obtusus (Koch, 1839)"
"Typhlodromus pinicolus (Karg, 1991)","Amblyseius pinicolus Karg, 1991"
"Amblyseius khnzoriani Wainstein & Arutunjan, 1970","Amblyseius rademacheri Dosse, 1958"
"Scutovertex pseudomaculatus Hull, 1914","Ameronothrus maculatus (Michael, 1882)"
"Scutovertex spoofi Oudemans, 1900","Ameronothrus marinus (Banks, 1896)"
"Acarus corbicula Sowerby, 1806","Ameroseius corbiculus (Sowerby, 1806)"
"Ameroseius crassisetosus Ye & Ma, 1993","Ameroseius corbiculus (Sowerby, 1806)"
"Ameroseius norvegicus Narita, Abduch & Moraes, 2015","Ameroseius corbiculus (Sowerby, 1806)"
"Ameroseius qinghaiensis Li & Yang, 2000","Ameroseius corbiculus (Sowerby, 1806)"
"Cornubia ornata Turk, 1943","Ameroseius corbiculus (Sowerby, 1806)"
"Seius echinatus Koch, 1839","Ameroseius corbiculus (Sowerby, 1806)"
"Seius hirsutus Berlese, 1887","Ameroseius corbiculus (Sowerby, 1806)"
"Amerus troisi (Berlese, 1883)","Amerus polonicus (Berlese, 1883)"
"Amerus troisii Selnick, 1928","Amerus polonicus (Berlese, 1883)"
"Amischa cavifrons (Sharp, 1869)","Amischa bifoveolata (Mannerheim, 1830)"
"Amischa vogti Benick, 1967","Amischa bifoveolata (Mannerheim, 1830)"
"Balanus amphitrite Darwin, 1851","Amphibalanus amphitrite (Darwin, 1851)"
"Balanus eburneus Gould, 1841","Amphibalanus eburneus (Gould, 1841)"
"Balanus improvisus Darwin, 1854","Amphibalanus improvisus (Darwin, 1854)"
"Pectinaria auricoma (Muller, 1776)","Amphictene auricoma (Muller, 1776)"
"Amphigerontia pearmani Roesler, 1943","Amphigerontia bifasciata (Latreille, 1799)"
"Sertularia operculata Linnaeus, 1758","Amphisbetia operculata Linnaeus, 1758"
"Phacopteryx brevipennis (Curtis, 1834)","Anabolia brevipennis Curtis, 1834"
"Anabremia longiventris De Meijere, 1939","Anabremia viciae Kieffer, 1913"
"Tetramesa graminicola Giraud, 1863","Anagrus bakkendorfi Soyka, 1946"
"Tetramesa poicola Hedicke, 1921","Anagrus incarnatus Haliday, 1833"
"Acarus chelopus Hermann, 1804","Analges chelopus (Hermann, 1804)"
"Dermaleichus passerinus Koch, 1841","Analges chelopus (Hermann, 1804)"
"Dermaleichus mucronatus Buchholz, 1869","Analges mucronatus (Buchholz, 1869)"
"Acarus avicularum De Geer, 1778","Analges passerinus (Linnaeus, 1758)"
"Acarus passerinus Linnaeus, 1758","Analges passerinus (Linnaeus, 1758)"
"Phlyctaenia coronata (Hufnagel, 1767)","Anania coronata (Hufnagel, 1767)"
"Ebulea crocealis (Hubner, 1796)","Anania crocealis (Hubner, 1796)"
"Opsibotys fuscalis (Denis & Schiffermuller, 1775)","Anania fuscalis (Denis & Schiffermuller, 1775)"
"Eurrhypara hortulata (Linnaeus, 1758)","Anania hortulata (Linnaeus, 1758)"
"Perinephela lancealis (Denis & Schiffermuller, 1775)","Anania lancealis (Denis & Schiffermuller, 1775)"
"Phlyctaenia perlucidalis (Hubner, 1809)","Anania perlucidalis (Hubner, 1809)"
"Phlyctaenia stachydalis (Germar, 1821)","Anania stachydalis (Germar, 1821)"
"Algedonia terrealis (Treitschke, 1829)","Anania terrealis (Treitschke, 1829)"
"Anapausis tenuicauda Duda, 1928","Anapausis soluta (Loew, 1846)"
"Anagrus diversicornis Soyka, 1956","Anaphes aequipennatus (Soyka, 1953)"
"Anagrus valkenburgensis Soyka, 1955","Anaphes aequipennatus (Soyka, 1953)"
"Anagrus latipennis Soyka, 1956","Anaphes arcuatus (Soyka, 1953)"
"Anagrus parvus Soyka, 1956","Anaphes debilipennis (Soyka, 1949)"
"Anaphes capitulata Soyka, 1949","Anaphes piliscapus Soyka, 1949"
"Anaphes filicornis Soyka, 1949","Anaphes piliscapus Soyka, 1949"
"Anaphes maculata Soyka, 1949","Anaphes piliscapus Soyka, 1949"
"Charadrius alexandrinus Linnaeus, 1758","Anarhynchus alexandrinus (Linnaeus, 1758)"
"Charadrius asiaticus (Pallas, 1773)","Anarhynchus asiaticus (Pallas, 1773)"
"Charadrius leschenaultii Lesson, 1826","Anarhynchus leschenaultii (Lesson, 1826)"
"Hadula trifolii (Hufnagel, 1766)","Anarta trifolii (Hufnagel, 1766)"
"Spatula clypeata (Linnaeus, 1758)","Anas clypeata Linnaeus, 1758"
"Mareca penelope (Linnaeus, 1758)","Anas penelope Linnaeus, 1758"
"Spatula querquedula (Linnaeus, 1758)","Anas querquedula Linnaeus, 1758"
"Anaspis humeralis (Fabricius, 1775)","Anaspis fasciata (Forster, 1771)"
"Corymbia sanguinolenta (Linnaeus, 1760)","Anastrangalia sanguinolenta (Linnaeus, 1760)"
"Hemianax ephippiger (Burmeister, 1839)","Anax ephippiger (Burmeister, 1839)"
"Taeniacanthus lucipetus (Holmes, 1985)","Anchistrotos lucipetus (Holmes, 1985)"
"Ancistronycha cyanipennis (Faldermann, 1835)","Ancistronycha violacea (Paykull, 1798)"
"Andrena batava Perez, 1902","Andrena apicata Smith, 1847"
"Andrena gwynana (Kirby, 1802)","Andrena bicolor Fabricius, 1775"
"Andrena bluethgeni Stockhert, 1930","Andrena bimaculata (Kirby, 1802)"
"Andrena morawitzi Thomson, 1872","Andrena bimaculata (Kirby, 1802)"
"Andrena propinqua Schenck, 1853","Andrena dorsata (Kirby, 1802)"
"Andrena armata (Gmelin, 1790)","Andrena fulva (Muller, 1766)"
"Andrena anthrisci Bluthgen, 1925","Andrena minutuloides Perkins, 1914"
"Andrena albofasciata Thomson, 1870","Andrena ovatula (Kirby, 1802)"
"Andrena nigrospina Thomson, 1872","Andrena pilipes (Fabricius, 1781)"
"Andrena eximia Smith, 1847","Andrena rosae Panzer, 1801"
"Andrena jacobi Perkins, 1921","Andrena scotica Perkins, 1916"
"Andrena sabulosa (Scopoli, 1763)","Andrena scotica Perkins, 1916"
"Andrena saundersella Perkins, 1914","Andrena semilaevis Perez, 1903"
"Andrena ocreata (Christ, 1791)","Andrena similis Smith, 1849"
"Andrena bremensis Alfken, 1900","Andrena simillima Smith, 1851"
"Andrena carantonica Perez, 1902","Andrena trimmerana (Kirby, 1802)"
"Andrena spinigera Kirby, 1802","Andrena trimmerana (Kirby, 1802)"
"Iphis casalis Berlese, 1887","Androlaelaps casalis (Berlese, 1887)"
"Atricholaelaps sigmodoni Strandtmann, 1946","Androlaelaps fahrenholzi (Berlese, 1911)"
"Haemolaelaps scalopi Keegan, 1946","Androlaelaps fahrenholzi (Berlese, 1911)"
"Laelaps californicus Ewing, 1925","Androlaelaps fahrenholzi (Berlese, 1911)"
"Laelaps fahrenholzi Berlese, 1911","Androlaelaps fahrenholzi (Berlese, 1911)"
"Laelaps glasgowi Ewing, 1925","Androlaelaps fahrenholzi (Berlese, 1911)"
"Laelaps stegemani Hefley, 1935","Androlaelaps fahrenholzi (Berlese, 1911)"
"Laelaps virginianus Ewing, 1925","Androlaelaps fahrenholzi (Berlese, 1911)"
"Liponyssus setiger Ewing, 1920","Androlaelaps fahrenholzi (Berlese, 1911)"
"Haemolaelaps fenilis Megnin, 1876","Androlaelaps fenilis (Megnin, 1876)"
"Haemolaelaps mohrae Oudemans, 1928","Androlaelaps fenilis (Megnin, 1876)"
"Haemolaelaps molestus Oudemans, 1929","Androlaelaps fenilis (Megnin, 1876)"
"Haemolaelaps oculatus Oudemans, 1915","Androlaelaps fenilis (Megnin, 1876)"
"Hypoaspis hermaphrodita (Berlese, 1887)","Androlaelaps hermaphrodita (Berlese, 1887)"
"Laelaps hermaphrodita Berlese, 1887","Androlaelaps hermaphrodita (Berlese, 1887)"
"Anevrina claripennis (Becker, 1901)","Anevrina thoracica (Meigen, 1804)"
"Anevrina fennica (Becker, 1901)","Anevrina unispinosa (Zetterstedt, 1860)"
"Angiometopa ruralis (Fallen, 1817)","Angiometopa falleni Pape, 1986"
"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974","Anguillicoloides crassus (Kuwahara, Niimi & Itagaki, 1974)"
"Anisobas quadrialbatus Constantineanu, 1951","Anisobas cingulatellus Horstmann, 1997"
"Anobium nitidum Fabricius, 1792","Anobium canaliculatum (Thomson, 1863)"
"Anoetus discrepans Oudemans, 1903","Anoetus alicola (Dujardin, 1849)"
"Hypopus alicola Dujardin, 1842","Anoetus alicola (Dujardin, 1849)"
"Anogcodes ustulatus (Fabricius, 1787)","Anogcodes melanurus (Fabricius, 1787)"
"Euchlora cuprea Hope, 1839","Anomala cuprea (Hope, 1839)"
"Anomalocera patersonii (Templeton, 1837)","Anomalocera patersoni (Templeton, 1837)"
"Anomoia antica (Wiedemann, 1830)","Anomoia purmunda (Harris, 1780)"
"Anomoia permunda (Harris, 1782)","Anomoia purmunda (Harris, 1780)"
"Anopheles bifurcatus Meigen, 1818","Anopheles claviger (Meigen, 1804)"
"Anopheles nigripes Staeger, 1839","Anopheles plumbeus Stephens, 1828"
"Eriococcus danzigae (Miller & Gimpel, 1996)","Anophococcus confusus Lagowska & Koteja, 1996"
"Acanthococcus inermis (Green, 1915)","Anophococcus inermis (Green, 1915)"
"Eriococcus inermis (Green, 1915)","Anophococcus inermis (Green, 1915)"
"Acanthococcus insignis (Newstead, 1891)","Anophococcus insignis (Newstead, 1891)"
"Eriococcus insignis (Newstead, 1891)","Anophococcus insignis (Newstead, 1891)"
"Atheta corvina (Thomson, 1856)","Anopleta corvina (Thomson, 1856)"
"Perigrapha munda (Denis & Schiffermuller, 1775)","Anorthoa munda (Denis & Schiffermuller, 1775)"
"Chen canagica (Sevastianov, 1802)","Anser canagicus Sevastianov, 1802"
"Antennoseius magniscutum (Weis-Fogh, 1947)","Antennoseius borussicus Sellnick, 1945"
"Antennoseius rarus Pinchuk, 1972","Antennoseius borussicus Sellnick, 1945"
"Vitzthumia magniscutum Weis-Fogh, 1947","Antennoseius borussicus Sellnick, 1945"
"Anthaxia sepulcharis (Fabricius, 1801)","Anthaxia sepulchralis (Fabricius, 1801)"
"Antherophagus nigricornis (Fabricius, 1787)","Antherophagus pallens (Linnaeus, 1758)"
"Antherophagus canescens Grouvelle, 1916","Antherophagus silaceus (Herbst, 1792)"
"Cordicomus sellatus (Panzer, 1796)","Anthicus sellatus (Panzer, 1796)"
"Anthidium strigatum (Panzer, 1805)","Anthidiellum strigatum (Panzer, 1805)"
"Lathrimaeum unicolor (Marsham, 1802)","Anthobium unicolor (Marsham, 1802)"
"Anthocomus bipunctatus (Harrer, 1784)","Anthocomus equestris (Fabricius, 1782)"
"Anthocomus coccineus (Schaller, 1783)","Anthocomus rufus (Herbst, 1784)"
"Anthomyia caesia (Macquart, 1835)","Anthomyia liturata (Robineau-Desvoidy, 1830)"
"Anthomyia pullula (Zetterstedt, 1845)","Anthomyia liturata (Robineau-Desvoidy, 1830)"
"Anthomyia parva Kabos, 1975","Anthomyia pluvialis (Linnaeus, 1758)"
"Anthomyza sordidella (Zetterstedt, 1848)","Anthomyza gracilis Fallen, 1823"
"Furcipus rectirostris (Linnaeus, 1758)","Anthonomus rectirostris (Linnaeus, 1758)"
"Heliophila bimaculata (Panzer, 1798)","Anthophora bimaculata (Panzer, 1798)"
"Clisodon furcata (Panzer, 1798)","Anthophora furcata (Panzer, 1798)"
"Anthophora vulpina (Panzer, 1798)","Anthophora quadrimaculata (Panzer, 1798)"
"Anthrax sinuatus Meigen, 1804","Anthrax anthrax (Schrank, 1781)"
"Dolichogenidea candidata (Haliday, 1834)","Apanteles candidatus (Haliday, 1834)"
"Geranolichus brachychaetus Gaud, 1968","Apatelacarus brachychaetus (Gaud, 1968)"
"Aphanotrigonum brachypterum (Zetterstedt, 1848)","Aphanotrigonum nigripes (Zetterstedt, 1848)"
"Aphanotrigonum annuliferum (Zetterstedt, 1848)","Aphanotrigonum trilineatum (Meigen, 1830)"
"Aphanotrigonum beschovskii Dely-Draskovits, 1981","Aphanotrigonum trilineatum (Meigen, 1830)"
"Aphelia viburnana (Denis & Schiffermuller, 1775)","Aphelia viburniana (Denis & Schiffermuller, 1775)"
"Aphelinus longicornis Ferriere, 1962","Aphelinus asychis Walker, 1839"
"Phaenobremia aphidivora (Rubsaamen, 1891)","Aphidoletes aphidimyza (Rondani, 1847)"
"Toxopterina vandergooti (Borner, 1939)","Aphis vandergooti (Borner, 1939)"
"Aphodius pedellus (De Geer, 1774)","Aphodius fimetarius (Linnaeus, 1758)"
"Aphrodes aestuarinus (Edwards, 1908)","Aphrodes aestuarina (Edwards, 1908)"
"Aphrodes bicinctus (Schrank, 1776)","Aphrodes bicincta (Schrank, 1776)"
"Aphrodite aculeata Linnaeus, 1758","Aphrodita aculeata Linnaeus, 1758"
"Aphrophora alpina Melichar, 1900","Aphrophora major Uhler, 1896"
"Aphrophora costalis Matsumura, 1903","Aphrophora pectoralis Matsumura, 1903"
"Aphytis fuscipennis Howard, 1881","Aphytis diaspidis (Howard, 1881)"
"Haplotarsus incanus (Gyllenhal, 1827)","Aplotarsus incanus (Gyllenhal, 1827)"
"Lophuromyopus apodemi Fain, 1965","Apodemopus apodemi (Fain, 1965)"
"Apohyale prevosti (Milne-Edwards, 1830)","Apohyale prevostii (Milne-Edwards, 1830)"
"Hyale prevosti (Milne-Edwards, 1830)","Apohyale prevostii (Milne-Edwards, 1830)"
"Amphilochus neapolitanus Della Valle, 1893","Apolochus neapolitanus (Della Valle, 1893)"
"Apriona japonica (Thomson, 1878)","Apriona rugicollis Chevrolat, 1852"
"Aprostocetus spartii Ratzeburg, 1852","Aprostocetus capitigenae Graham, 1987"
"Aprostocetus dotus (Walker, 1839)","Aprostocetus clavicornis (Zetterstedt, 1838)"
"Aprostocetus fageti Graham, 1961","Aprostocetus escherichi (Szelenyi, 1941)"
"Aprostocetus abydenus (Walker, 1848)","Aprostocetus leucone (Walker, 1839)"
"Aprostocetus arundinis Giraud, 1863","Aprostocetus rubicola Graham, 1987"
"Parastichtis ypsillon (Denis & Schiffermuller, 1775)","Apterogenum ypsillon (Denis & Schiffermuller, 1775)"
