top	"Animalia"
rangen	"(alle)
statussen	"(0,0a,1,1a,1b,2,2a,2b,2c,2d,3a,3b,3c,3cE,3d,4)"

"synonym"	"type_synonym"	"language"	"taxon"	"taxon_nsr_id"	"rank"	
"Acarus farinae De Geer, 1778"	"isSynonymOf"	"Scientific"	"Acarus siro Linnaeus, 1758"	"0980ADX8E8QG"	
"Aleurobius farris Oudemans, 1902"	"isSynonymOf"	"Scientific"	"Acarus siro Linnaeus, 1758"	"0980ADX8E8QG"	
"Tyroglyphus farinae (De Geer, 1778)"	"isSynonymOf"	"Scientific"	"Acarus siro Linnaeus, 1758"	"0980ADX8E8QG"	
"Groene blokspanner"	"isPreferredNameOf"	"Dutch"	"Acasis viretata (Hübner, 1799)"	"0AHCYFCJJUPZ"	
"Havik"	"isPreferredNameOf"	"Dutch"	"Accipiter gentilis (Linnaeus, 1758)"	"000464941632"	
"Sperwer"	"isPreferredNameOf"	"Dutch"	"Accipiter nisus (Linnaeus, 1758)"	"000464942064"	
"Acemya grisea (Zetterstedt, 1838)"	"isSynonymOf"	"Scientific"	"Acemya acuticornis (Meigen, 1824)"	"0AHCYFBMVHPP"	
"Duikermot"	"isPreferredNameOf"	"Dutch"	"Acentria ephemerella (Denis & Schiffermüller, 1775)"	"0AHCYFCIEFRD"	
"Tiphys pistillifer (Koenike, 1908)"	"isSynonymSLOf"	"Scientific"	"Acercopsis pistillifer (Koenike, 1908)"	"0AHCYFCQCPNS"	
"Spaanse aakknobbelmijt"	"isPreferredNameOf"	"Dutch"	"Aceria aceriscampestris (Nalepa, 1922)"	"0MTJUL6PM2IB"	
"Ereprijsmijt"	"isPreferredNameOf"	"Dutch"	"Aceria anceps (Nalepa, 1892)"	"0AHCYSI10144"	
"Bijvoetmijt"	"isPreferredNameOf"	"Dutch"	"Aceria artemisiae (Canestrini, 1891)"	"0AHCYSI10145"	
"Vleugeltjesbloemmijt"	"isPreferredNameOf"	"Dutch"	"Aceria brevirostris (Nalepa, 1892)"	"0AHCYSI10146"	
"Boerenwormkruidmijt"	"isPreferredNameOf"	"Dutch"	"Aceria calathina (Nalepa, 1917)"	"0XS7YZ9TL6HZ"	
"Iepenknobbelmijt"	"isPreferredNameOf"	"Dutch"	"Aceria campestricola (Frauenfeld, 1865)"	"0AHCYSI10147"	
"Knoopkruidmijt"	"isPreferredNameOf"	"Dutch"	"Aceria centaureae (Nalepa, 1891)"	"0AHCYSI10148"	
"Esdoornknobbelmijt"	"isPreferredNameOf"	"Dutch"	"Aceria cephalonea (Nalepa, 1922)"	"0RHGUQN7VODW"	
"Windemijt"	"isPreferredNameOf"	"Dutch"	"Aceria convolvuli (Nalepa, 1898)"	"0AHCYSI10149"	
"Gehoornde grasaarmijt"	"isPreferredNameOf"	"Dutch"	"Aceria cornuta (Reuter, 1900)"	"0AHCYSI10150"	
"Tripmadammijt"	"isPreferredNameOf"	"Dutch"	"Aceria destructor (Nalepa, 1891)"	"0AHCYSI10151"	
"Populierenrozetmijt"	"isPreferredNameOf"	"Dutch"	"Aceria dispar (Nalepa, 1891)"	"0AHCYSI10152"	
"Hongerbloempjesmijt"	"isPreferredNameOf"	"Dutch"	"Aceria drabae (Nalepa, 1890)"	"0AHCYSI10153"	
"Kraaiheidemijt"	"isPreferredNameOf"	"Dutch"	"Aceria empetri (Lindroth, 1899)"	"0AHCYSI10154"	
"Zandblauwtjesmijt"	"isPreferredNameOf"	"Dutch"	"Aceria enantha (Nalepa, 1892)"	"0AHCYSI10155"	
"Okkernootviltmijt"	"isPreferredNameOf"	"Dutch"	"Aceria erinea (Nalepa, 1891)"	"0AHCYSI10156"	
"Rolklavermijt"	"isPreferredNameOf"	"Dutch"	"Aceria euaspis (Nalepa, 1892)"	"0AHCYSI10157"	
"Ogentroostmijt"	"isPreferredNameOf"	"Dutch"	"Aceria euphrasiae (Nalepa, 1891)"	"0AHCYSI10158"	
"Struikheidemijt"	"isPreferredNameOf"	"Dutch"	"Aceria exigua (Liro, 1940)"	"0AHCYSI10159"	
"Essenbloesemmijt"	"isPreferredNameOf"	"Dutch"	"Aceria fraxinivora (Nalepa, 1909)"	"0AHCYSI10160"	
"Walstropeertjesmijt"	"isPreferredNameOf"	"Dutch"	"Aceria galiobia (Canestrini, 1891)"	"0AHCYSI10161"	
"Brembolletjesmijt"	"isPreferredNameOf"	"Dutch"	"Aceria genistae (Nalepa, 1892)"	"0AHCYSI10162"	
"Ooievaarsbekmijt"	"isPreferredNameOf"	"Dutch"	"Aceria geranii (Canestrini, 1891)"	"0AHCYSI10163"	
"Aceria nalepai auct."	"isSynonymOf"	"Scientific"	"Aceria hippophaena (Nalepa, 1898)"	"0AHCYSI10165"	
"Duindoornmijt"	"isPreferredNameOf"	"Dutch"	"Aceria hippophaena (Nalepa, 1898)"	"0AHCYSI10165"	
"Biggenkruidmijt"	"isPreferredNameOf"	"Dutch"	"Aceria hypochoerina (Nalepa, 1893)"	"0AHCYSI10166"	
"Gesteelde wilgwratmijt"	"isPreferredNameOf"	"Dutch"	"Aceria iteina (Nalepa, 1925)"	"0AHCYSI10167"	
"Marjoleinmijt"	"isPreferredNameOf"	"Dutch"	"Aceria labiatiflorae (Thomas, 1872)"	"0FPDZ8I9YR5Q"	
"Wederikmijt"	"isPreferredNameOf"	"Dutch"	"Aceria laticincta (Nalepa, 1892)"	"0AHCYSI10168"	
"Kruiskruidmijt"	"isPreferredNameOf"	"Dutch"	"Aceria leioprocta (Nalepa, 1892)"	"0AHCYSI10169"	
"Vlierluis"	"isAlternativeNameOf"	"Dutch"	"Aceria loewi (Nalepa, 1890)"	"018TTF08WSZU"	
"Vliermijt"	"isPreferredNameOf"	"Dutch"	"Aceria loewi (Nalepa, 1890)"	"018TTF08WSZU"	
"Phytoptus cladophthira Nalepa, 1892"	"isSynonymOf"	"Scientific"	"Aceria lycopersici (Wolffenstein, 1879)"	"0AHCYSI10170"	
"Tomatenmijt"	"isPreferredNameOf"	"Dutch"	"Aceria lycopersici (Wolffenstein, 1879)"	"0AHCYSI10170"	
"Esdoornnerfhoekmijt"	"isPreferredNameOf"	"Dutch"	"Aceria macrochela (Nalepa, 1891)"	"0AHCYSI10172"	
"Esdoornviltmijt"	"isPreferredNameOf"	"Dutch"	"Aceria macrocheluserinea (Trotter, 1902)"	"048QPLL31C4I"	
"Esdoornhoornmijt"	"isPreferredNameOf"	"Dutch"	"Aceria macrorhyncha (Nalepa, 1889)"	"0AHCYSI10173"	
"Valeriaanmijt"	"isPreferredNameOf"	"Dutch"	"Aceria macrotuberculata (Nalepa, 1895)"	"0AHCYSI10174"	
"Watermuntbloesemmijt"	"isPreferredNameOf"	"Dutch"	"Aceria megacera (Canestrini & Massalongo, 1893)"	"09QYDSMJQ47G"	
"Akkermuntbloesemmijt"	"isPreferredNameOf"	"Dutch"	"Aceria mentharia (Canestrini, 1890)"	"0EUIQYXGVMMO"	
"Beukenbladviltmijt"	"isPreferredNameOf"	"Dutch"	"Aceria nervisequa (Canestrini, 1891)"	"0AHCYSI10176"	
"Stalkruidmijt"	"isPreferredNameOf"	"Dutch"	"Aceria ononidis (Canestrini, 1890)"	"0AHCYSI10178"	
"Klaverzuringmijt"	"isPreferredNameOf"	"Dutch"	"Aceria oxalidis (Trotter, 1902)"	"0AHCYSI10179"	
"Melkeppemijt"	"isPreferredNameOf"	"Dutch"	"Aceria peucedani (Canestrini, 1892)"	"0AHCYSI10180"	
"Muizenoortjesmijt"	"isPreferredNameOf"	"Dutch"	"Aceria pilosellae (Nalepa, 1892)"	"0266FIAJ2KHU"	
"Klaverbloemmijt"	"isPreferredNameOf"	"Dutch"	"Aceria plicator (Nalepa, 1890)"	"0AHCYSI10181"	
"Gewone esdoornmijt"	"isPreferredNameOf"	"Dutch"	"Aceria pseudoplatani (Corti, 1905)"	"0AHCYSI10183"	
"Streepzaadmijt"	"isPreferredNameOf"	"Dutch"	"Aceria rechingeri (Nalepa, 1903)"	"0AHCYSI10184"	
"Pimpernelmijt"	"isPreferredNameOf"	"Dutch"	"Aceria sanguisorbae (Canestrini, 1892)"	"0AHCYSI10186"	
"Reigersbekmijt"	"isPreferredNameOf"	"Dutch"	"Aceria schlechtendali (Nalepa, 1892)"	"0QMK0Y2TAFKE"	
"Silenemijt"	"isPreferredNameOf"	"Dutch"	"Aceria silenes (Liro, 1940)"	"0AHCYSI10187"	
"Andoornmijt"	"isPreferredNameOf"	"Dutch"	"Aceria solida (Nalepa, 1892)"	"0AHCYSI10188"	
"Duifkruidmijt"	"isPreferredNameOf"	"Dutch"	"Aceria squalida (Nalepa, 1892)"	"0AHCYSI10189"	
"Haagbeuknerfhoekmijt"	"isPreferredNameOf"	"Dutch"	"Aceria tenella (Nalepa, 1892)"	"0PRDYUWGWBJ2"	
"Gewone grasaarmijt"	"isPreferredNameOf"	"Dutch"	"Aceria tenuis (Nalepa, 1891)"	"0AHCYSI10190"	
"Tijmrozetmijt"	"isPreferredNameOf"	"Dutch"	"Aceria thomasi (Nalepa, 1889)"	"0AHCYSI10191"	
"Klavermijt"	"isPreferredNameOf"	"Dutch"	"Aceria trifolii (Nalepa, 1892)"	"0AVI80HOXZKD"	
"Aceria tritriata (Nalepa, 1890)"	"isMisspelledNameOf"	"Scientific"	"Aceria tristriata (Nalepa, 1890)"	"02DB6FYF0SIA"	
"Boerenwormkruidbladmijt"	"isPreferredNameOf"	"Dutch"	"Aceria tuberculata (Nalepa, 1891)"	"0AHCYSI10192"	
"Iepenvlekmijt"	"isPreferredNameOf"	"Dutch"	"Aceria ulmi (Garman, 1883)"	"0E7SQ7I98WPC"	
"Buxustopmijt"	"isPreferredNameOf"	"Dutch"	"Aceria unguiculata (Canestrini, 1891)"	"0AHCYSI10194"	
"Populierenviltmijt"	"isPreferredNameOf"	"Dutch"	"Aceria varia (Nalepa, 1892)"	"0AHCYSI10195"	
"Bosrankmijt"	"isPreferredNameOf"	"Dutch"	"Aceria vitalbae (Canestrini, 1892)"	"0AHCYSI10196"	
"Acericerus rotundifrons (Kirschbaum, 1868)"	"isSynonymOf"	"Scientific"	"Acericerus vittifrons (Kirschbaum, 1868)"	"0AHCYFAPCUGU"	
"Achanthiptera inanis (Fallén, 1825)"	"isSynonymOf"	"Scientific"	"Achanthiptera rohrelliformis (Robineau-Desvoidy, 1830)"	"0AHCYFBIHYMA"	
"Doodshoofdvlinder"	"isPreferredNameOf"	"Dutch"	"Acherontia atropos (Linnaeus, 1758)"	"0AHCYFCMTVQH"	
"Huiskrekel"	"isPreferredNameOf"	"Dutch"	"Acheta domesticus (Linnaeus, 1758)"	"000464553434"	
"Oribata intermedia Michael, 1898"	"isSynonymOf"	"Scientific"	"Achipteria coleoptrata (Linnaeus, 1758)"	"0AHCYSI10337"	
"Oribata ovalis Nicolet, 1855"	"isSynonymOf"	"Scientific"	"Achipteria coleoptrata (Linnaeus, 1758)"	"0AHCYSI10337"	
"Oribates nicoletii Berlese, 1883"	"isSynonymOf"	"Scientific"	"Achipteria coleoptrata (Linnaeus, 1758)"	"0AHCYSI10337"	
"Notaspis mixtus Sellnick, 1943"	"isSynonymOf"	"Scientific"	"Achipteria nitens (Nicolet, 1855)"	"0AHCYSI10338"	
"Achlya flavicornis (Linnaeus, 1758)"	"isSynonymOf"	"Scientific"	"Achlya flavicornis (Linnaeus, 1758)"	"0AHCYFCIOIWO"	
"Lente-orvlinder"	"isPreferredNameOf"	"Dutch"	"Achlya flavicornis (Linnaeus, 1758)"	"0AHCYFCIOIWO"	
"Kleine wasmot"	"isPreferredNameOf"	"Dutch"	"Achroia grisella (Fabricius, 1794)"	"0AHCYFCMNAEG"	
"Zaomma microphagus Mayr, 1876"	"isSynonymOf"	"Scientific"	"Achrysocharoides bukkensis (Erdös, 1958)"	"0AHCYFAZSCOU"	
"Gegroefde naaldslak"	"isPreferredNameOf"	"Dutch"	"Acicula fusca (Montagu, 1803)"	"000486764001"	
"Acidostoma obesum (Bate & Westwood, 1861)"	"isSynonymOf"	"Scientific"	"Acidostoma obesum (Bate, 1862)"	"0OBLKIQYOHCX"	
"Acidostoma sarsi Lincoln, 1979"	"isSynonymOf"	"Scientific"	"Acidostoma obesum (Bate, 1862)"	"0OBLKIQYOHCX"	
"Gestreepte haarwaterroofkever"	"isPreferredNameOf"	"Dutch"	"Acilius canaliculatus (Nicolai, 1822)"	"0AHCYFBTYSFS"	
"Gegroefde haarwaterroofkever"	"isPreferredNameOf"	"Dutch"	"Acilius sulcatus (Linnaeus, 1758)"	"0AHCYFBTYTGK"	
"Gegroefde harige waterkever"	"isAlternativeNameOf"	"Dutch"	"Acilius sulcatus (Linnaeus, 1758)"	"0AHCYFBTYTGK"	
"Gegroefde waterkever"	"isAlternativeNameOf"	"Dutch"	"Acilius sulcatus (Linnaeus, 1758)"	"0AHCYFBTYTGK"	
"Gegroefde watertor"	"isAlternativeNameOf"	"Dutch"	"Acilius sulcatus (Linnaeus, 1758)"	"0AHCYFBTYTGK"	
"Zwemkever"	"isAlternativeNameOf"	"Dutch"	"Acilius sulcatus (Linnaeus, 1758)"	"0AHCYFBTYTGK"	
"Siberische steur"	"isPreferredNameOf"	"Dutch"	"Acipenser baerii Brandt, 1869"	"0IY9670S4IWB"	
"Acipenser gueldenstaedti Brandt & Ratzeburg, 1833"	"isMisspelledNameOf"	"Scientific"	"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833"	"0460231E4C31"	
"Diamantsteur"	"isPreferredNameOf"	"Dutch"	"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833"	"0460231E4C31"	
"Sterlet"	"isPreferredNameOf"	"Dutch"	"Acipenser ruthenus Linnaeus, 1758"	"00B60EBE4E4C"	
"Spitssnuitsteur"	"isPreferredNameOf"	"Dutch"	"Acipenser stellatus Pallas, 1771"	"0F0807844E85"	
"Atlantische steur"	"isPreferredNameOf"	"Dutch"	"Acipenser sturio Linnaeus, 1758"	"000455863821"	
"Steur"	"isAlternativeNameOf"	"Dutch"	"Acipenser sturio Linnaeus, 1758"	"000455863821"	
"Dennenboogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris abietana (Hübner, 1822)"	"0AHCYFCMYHJC"	
"Bruingele boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris aspersana (Hübner, 1817)"	"0AHCYFCMYIFJ"	
"Gouden boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris bergmanniana (Linnaeus, 1758)"	"0AHCYFCMYJGN"	
"Rozenbladroller"	"isAlternativeNameOf"	"Dutch"	"Acleris bergmanniana (Linnaeus, 1758)"	"0AHCYFCMYJGN"	
"Okergele driehoekbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris comariana (Lienig & Zeller, 1846)"	"0AHCYFCMYKCU"	
"Diamantborsteltje"	"isPreferredNameOf"	"Dutch"	"Acleris cristana (Denis & Schiffermüller, 1775)"	"0AHCYFCMYKZB"	
"Gehakkelde bladroller"	"isPreferredNameOf"	"Dutch"	"Acleris emargana (Fabricius, 1775)"	"0AHCYFCMYLVH"	
"Lichte boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris ferrugana (Denis & Schiffermüller, 1775)"	"0AHCYFCMYMRO"	
"Kleine boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris forsskaleana (Linnaeus, 1758)"	"0AHCYFCMYNSG"	
"Kameleonbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris hastiana (Linnaeus, 1758)"	"0AHCYFCMYOON"	
"Rode driehoekbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris holmiana (Linnaeus, 1758)"	"0AHCYFCMYPKU"	
"Variabele heidebladroller"	"isPreferredNameOf"	"Dutch"	"Acleris hyemana (Haworth, 1811)"	"0AHCYFCMYQHB"	
"Iepenbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris kochiella (Goeze, 1783)"	"0AHCYFCMYRHT"	
"Variabele driehoekbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris laterana (Fabricius, 1794)"	"0AHCYFCMYSEA"	
"Kastanjebruine boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris lipsiana (Denis & Schiffermüller, 1775)"	"0AHCYFCMYTAG"	
"Groene boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris literana (Linnaeus, 1758)"	"0AHCYFCMYUAZ"	
"Witte boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris logiana (Clerck, 1759)"	"0AHCYFCMYUXR"	
"Satijnboogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris lorquiniana (Duponchel, 1835)"	"0AHCYFCMYVYK"	
"Oranje boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris notana (Donovan, 1806)"	"0AHCYFCMYWZC"	
"Rozenboogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris permutana (Duponchel, 1836)"	"0AHCYFCMYXVJ"	
"Eikenboogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris quercinana (Zeller, 1849)"	"0AHCYFCMYYRP"	
"Gehoekte boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris rhombana (Denis & Schiffermüller, 1775)"	"0AHCYFCMYZNW"	
"Gezoomde boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris rufana (Denis & Schiffermüller, 1775)"	"0AHCYFCMZAOP"	
"Zwartnekboogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris scabrana (Denis & Schiffermüller, 1775)"	"0AHCYFCMZBKV"	
"Zuidelijke boogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris schalleriana (Linnaeus, 1761)"	"0AHCYFCMZCHC"	
"Spireaboogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris shepherdana (Stephens, 1852)"	"0AHCYFCMZDDJ"	
"Esdoornboogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris sparsana (Denis & Schiffermüller, 1775)"	"0AHCYFCMZEEB"	
"splinterboogbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris umbrana (Hübner, 1799)"	"0MJ52NCODS5G"	
"Witschouderbladroller"	"isPreferredNameOf"	"Dutch"	"Acleris variegana (Denis & Schiffermüller, 1775)"	"0AHCYFCMZFAI"	
"Blitophaga opaca (Linnaeus, 1758)"	"isSynonymOf"	"Scientific"	"Aclypea opaca (Linnaeus, 1758)"	"0AHCYFBWPXWO"	
"Blitophaga undata (Müller, 1776)"	"isSynonymOf"	"Scientific"	"Aclypea undata (Müller, 1776)"	"0AHCYFBWPYXH"	
